datetime,actual_power,predicted_power,corrected_average_wind,original_average_wind,error,abs_error,original_gfs_10m,original_ec_10m
2022-09-21 20:00:00,0.0,24.63845288843853,4.158364774499678,2.4074317,24.63845288843853,24.63845288843853,1.8381824,2.976681
2022-09-21 20:15:00,0.0,24.393176051775125,4.158364774499678,2.37159855,24.393176051775125,24.393176051775125,1.8993171,2.84388
2022-09-21 20:30:00,0.0,24.393176051775125,4.158364774499678,2.37039175,24.393176051775125,24.393176051775125,1.9477239,2.7930596
2022-09-21 20:45:00,0.0,21.58290129961362,3.8519804244553506,1.6819324500000001,21.58290129961362,21.58290129961362,1.9498115,1.4140534
2022-09-21 21:00:00,0.0,24.682013854779218,4.185829391949622,3.2385856,24.682013854779218,24.682013854779218,2.1604278,4.3167434
2022-09-21 21:15:00,0.0,26.51115747687738,4.350856358024767,3.7255518499999996,26.51115747687738,26.51115747687738,2.6649342,4.7861695
2022-09-21 21:30:00,0.0,26.51115747687738,4.350856358024767,3.87242355,26.51115747687738,26.51115747687738,3.1098454,4.6350017
2022-09-21 21:45:00,0.0,26.51115747687738,4.364351386457103,4.0981666,26.51115747687738,26.51115747687738,3.3452208,4.8511124
2022-09-21 22:00:00,15.1059,30.98050044760498,4.752360827469885,4.623389250000001,15.874600447604982,15.874600447604982,4.1967235,5.050055
2022-09-21 22:15:00,25.9445,40.844939085354014,5.254798311397714,5.579643,14.900439085354012,14.900439085354012,5.0643,6.094986
2022-09-21 22:30:00,33.6694,55.11442718223906,5.879445823815876,6.15861065,21.44502718223906,21.44502718223906,5.5123873,6.804834
2022-09-21 22:45:00,31.3819,55.48925539988422,5.643112795143518,5.8879185,24.10735539988422,24.10735539988422,5.442197,6.33364
2022-09-21 23:00:00,33.4066,51.884598481020014,5.643112795143518,5.98075935,18.477998481020016,18.477998481020016,5.4846234,6.4768953
2022-09-21 23:15:00,34.4189,54.20958299504059,5.757028101724599,6.0232378,19.79068299504059,19.79068299504059,5.388262,6.6582136
2022-09-21 23:30:00,34.4189,54.68529932829161,5.643112795143518,5.9021013,20.266399328291612,20.266399328291612,5.3613596,6.442843
2022-09-21 23:45:00,62.3369,51.884598481020014,5.591100402602694,5.8742695000000005,-10.452301518979986,10.452301518979986,5.367464,6.381075
2022-09-22 00:00:00,67.1094,49.131432079165265,5.384942754947433,6.03528925,-17.97796792083473,17.97796792083473,5.5429425,6.527636
2022-09-22 00:15:00,68.2289,48.598195373560735,5.369802843936092,6.09313465,-19.63070462643926,19.63070462643926,5.6927233,6.493546
2022-09-22 00:30:00,72.7911,47.78118462584694,5.369802843936092,6.13816525,-25.00991537415306,25.00991537415306,5.829516,6.4468145
2022-09-22 00:45:00,72.7911,47.78118462584694,5.369802843936092,6.0800906999999995,-25.00991537415306,25.00991537415306,5.7756014,6.38458
2022-09-22 01:00:00,69.5936,43.56985367098673,5.072640858399814,5.9207222999999995,-26.023746329013264,26.023746329013264,5.647082,6.1943626
2022-09-22 01:15:00,63.9467,41.44428174251077,5.072640858399814,5.866365849999999,-22.502418257489232,22.502418257489232,5.6381197,6.094612
2022-09-22 01:30:00,52.1014,41.44428174251077,5.147703384668492,5.81185185,-10.65711825748923,10.65711825748923,5.6021547,6.021549
2022-09-22 01:45:00,52.0354,41.44428174251077,5.126368512113291,5.7532103,-10.591118257489235,10.591118257489235,5.5740542,5.9323664
2022-09-22 02:00:00,52.5554,41.44428174251077,5.126368512113291,5.605559700000001,-11.111118257489231,11.111118257489231,5.577368,5.6337514
2022-09-22 02:15:00,52.5554,41.44428174251077,5.016781988015697,5.4677216,-11.111118257489231,11.111118257489231,5.6244392,5.311004
2022-09-22 02:30:00,48.8642,41.44428174251077,5.016781988015697,5.5078057000000005,-7.419918257489229,7.419918257489229,5.7588224,5.256789
2022-09-22 02:45:00,44.9001,41.44428174251077,5.126368512113291,5.58966895,-3.455818257489234,3.455818257489234,5.8516626,5.3276753
2022-09-22 03:00:00,40.0062,41.44428174251077,5.126368512113291,5.6178475,1.438081742510768,1.438081742510768,5.998719,5.236976
2022-09-22 03:15:00,43.1888,41.44428174251077,5.126368512113291,5.7090232,-1.7445182574892328,1.7445182574892328,6.123269,5.2947774
2022-09-22 03:30:00,40.8942,41.45326136724035,5.270197281904086,6.0202942,0.5590613672403535,0.5590613672403535,6.209702,5.8308864
2022-09-22 03:45:00,38.4539,46.92501693124224,5.549611196625896,6.380599500000001,8.471116931242243,8.471116931242243,6.3192883,6.4419107
2022-09-22 04:00:00,34.8984,48.411514600714774,5.680618107859625,6.4953895,13.513114600714772,13.513114600714772,6.406022,6.584757
2022-09-22 04:15:00,34.8984,54.71263340185462,5.765846724861477,6.27230985,19.814233401854615,19.814233401854615,6.298421,6.2461987
2022-09-22 04:30:00,36.977,49.55333223273343,5.368262426152552,6.035481300000001,12.576332232733435,12.576332232733435,6.277064,5.7938986
2022-09-22 04:45:00,39.7803,46.2193946798573,5.384035657262165,6.098947000000001,6.439094679857305,6.439094679857305,6.262762,5.935132
2022-09-22 05:00:00,42.5601,48.113212100896696,5.459150903632354,6.3897905,5.553112100896698,5.553112100896698,6.194736,6.584845
2022-09-22 05:15:00,41.1691,48.646448806501226,5.605002696984879,6.440234,7.477348806501226,7.477348806501226,6.08951,6.790958
2022-09-22 05:30:00,41.8262,52.64638722435913,5.731940402088121,6.3513098,10.820187224359131,10.820187224359131,6.00595,6.6966696
2022-09-22 05:45:00,43.6363,51.447149653772826,5.599951941092934,6.3605754999999995,7.810849653772827,7.810849653772827,5.949088,6.772063
2022-09-22 06:00:00,43.6363,39.331661460776424,5.56029295430726,6.2988928,-4.304638539223575,4.304638539223575,5.8660936,6.731692
2022-09-22 06:15:00,40.3685,39.331661460776424,5.432389407315413,6.2247542,-1.0368385392235737,1.0368385392235737,5.8214674,6.628041
2022-09-22 06:30:00,37.2811,39.331661460776424,5.432389407315413,6.2299168,2.0505614607764215,2.0505614607764215,5.8175473,6.6422863
2022-09-22 06:45:00,36.3689,39.331661460776424,5.468974260255576,6.2463297,2.962761460776427,2.962761460776427,5.8436184,6.649041
2022-09-22 07:00:00,31.4245,37.85726277593035,5.325433522740771,6.233129,6.432762775930353,6.432762775930353,5.883765,6.582493
2022-09-22 07:15:00,29.3615,39.287553588010994,5.362018375680934,6.288281,9.926053588010994,9.926053588010994,5.9582105,6.6183515
2022-09-22 07:30:00,28.1283,39.287553588010994,5.362018375680934,6.362037150000001,11.159253588010994,11.159253588010994,6.0464916,6.6775827
2022-09-22 07:45:00,23.8481,40.738828816966766,5.612815249562627,6.594702,16.890728816966767,16.890728816966767,6.330053,6.859351
2022-09-22 08:00:00,25.0821,52.33498793308378,6.016856713072284,6.82354985,27.25288793308378,27.25288793308378,6.6782007,6.968899
2022-09-22 08:15:00,25.8593,54.96644839894653,6.077107686764295,7.1343245,29.10714839894653,29.10714839894653,7.129969,7.13868
2022-09-22 08:30:00,25.7342,54.96644839894653,6.264450334319773,7.70706675,29.23224839894653,29.23224839894653,7.811954,7.6021795
2022-09-22 08:45:00,27.7568,60.228837625087095,6.558721267349486,7.4795954,32.4720376250871,32.4720376250871,7.3075633,7.6516275
2022-09-22 09:00:00,28.0679,61.5572159759037,6.737417064903071,7.75935735,33.4893159759037,33.4893159759037,7.809469,7.7092457
2022-09-22 09:15:00,29.0987,62.24745626503943,6.828309626426532,7.775548000000001,33.14875626503943,33.14875626503943,7.9056015,7.6454945
2022-09-22 09:30:00,41.974,62.33064840033165,6.84290393033473,7.88414975,20.35664840033165,20.35664840033165,7.867228,7.9010715
2022-09-22 09:45:00,46.0687,62.33064840033165,7.032128907718332,7.9228707,16.261948400331647,16.261948400331647,7.7827544,8.062987
2022-09-22 10:00:00,52.1931,60.95665852346594,7.054997916537977,8.106541499999999,8.763558523465939,8.763558523465939,8.008574,8.204509
2022-09-22 10:15:00,61.4638,62.290323587301756,7.176951393497195,8.296534999999999,0.8265235873017573,0.8265235873017573,8.174088,8.418982
2022-09-22 10:30:00,61.4638,69.34305733500136,7.477824893083712,8.491246499999999,7.879257335001363,7.879257335001363,8.417277,8.565216
2022-09-22 10:45:00,69.9659,71.89314142286882,7.538916939553246,8.786319,1.9272414228688177,1.9272414228688177,8.764079,8.808559
2022-09-22 11:00:00,77.7284,71.66800839282341,7.683208197994991,8.9605865,-6.060391607176584,6.060391607176584,8.998258,8.922915
2022-09-22 11:15:00,80.2716,72.95422243689589,7.893841993749033,9.201056,-7.317377563104117,7.317377563104117,9.28324,9.118872
