datetime,power,ec_wind_speed_70m
2021-05-03 15:00:00,63.7565,8.237783
2021-05-03 15:15:00,64.898,7.8352656
2021-05-03 15:30:00,65.9767,7.7387037
2021-05-03 15:45:00,67.0154,7.958141
2021-05-03 16:00:00,68.0127,8.18538
2021-05-03 16:15:00,68.9673,8.057908
2021-05-03 16:30:00,69.599,7.7579174
2021-05-03 16:45:00,69.8779,7.812367
2021-05-03 17:00:00,69.8018,7.611833
2021-05-03 17:15:00,69.2702,7.2571087
2021-05-03 17:30:00,68.3887,7.002831
2021-05-03 17:45:00,67.0651,6.569421
2021-05-03 18:00:00,65.3136,6.411464
2021-05-03 18:15:00,63.1058,6.1613054
2021-05-03 18:30:00,60.9173,5.944769
2021-05-03 18:45:00,58.7736,5.4964614
2021-05-03 19:00:00,56.6984,5.085008
2021-05-03 19:15:00,54.7352,4.6449285
2021-05-03 19:30:00,52.8156,4.200582
2021-05-03 19:45:00,50.9824,5.9172053
2021-05-03 20:00:00,49.3155,6.809463
2021-05-03 20:15:00,47.9482,7.073959
2021-05-03 20:30:00,47.1445,6.8274517
2021-05-03 20:45:00,47.0248,6.348987
2021-05-03 21:00:00,47.686,5.7753263
2021-05-03 21:15:00,49.192,5.314925
2021-05-03 21:30:00,51.1511,7.0541377
2021-05-03 21:45:00,53.7045,8.734014
2021-05-03 22:00:00,56.9016,8.052517
2021-05-03 22:15:00,60.8467,7.2511644
2021-05-03 22:30:00,65.0445,7.494273
2021-05-03 22:45:00,69.5484,7.867096
2021-05-03 23:00:00,74.259,8.54586
2021-05-03 23:15:00,79.1419,9.032612
2021-05-03 23:30:00,84.268,9.615843
2021-05-03 23:45:00,89.4879,9.527605
2021-05-04 00:00:00,108.9771,11.136794
2021-05-04 00:15:00,111.1962,11.351066
2021-05-04 00:30:00,112.7568,11.347349
2021-05-04 00:45:00,113.7119,11.334501
2021-05-04 01:00:00,114.1173,11.633512
2021-05-04 01:15:00,114.0304,11.843386
2021-05-04 01:30:00,113.7987,12.123021
2021-05-04 01:45:00,113.4223,12.549902
2021-05-04 02:00:00,112.9304,13.048125
2021-05-04 02:15:00,112.323,12.546083
2021-05-04 02:30:00,111.4561,12.794808
2021-05-04 02:45:00,110.4172,13.126445
2021-05-04 03:00:00,109.1497,13.181713
2021-05-04 03:15:00,107.7128,12.832249
2021-05-04 03:30:00,106.223,12.534354
2021-05-04 03:45:00,104.6812,12.513563
2021-05-04 04:00:00,103.0887,12.492375
2021-05-04 04:15:00,101.475,12.407608
2021-05-04 04:30:00,99.8694,12.316494
2021-05-04 04:45:00,98.2725,12.32989
