datetime,actual_power,predicted_power,fused_corrected_wind,error,abs_error,corrected_gfs_70m,original_gfs_70m,corrected_ec_70m,original_ec_70m
2022-10-25 21:30:00,140.53,82.4194559109333,8.06526911778341,-58.11054408906671,58.11054408906671,8.270790164767828,12.733686,7.859748070798993,13.920925
2022-10-25 21:45:00,142.88,86.2461917884644,8.143556284098164,-56.633808211535595,56.633808211535595,8.427364497397337,12.826284,7.859748070798993,13.950225
2022-10-25 22:00:00,148.27,86.2461917884644,8.143556284098164,-62.02380821153561,62.02380821153561,8.427364497397337,12.883573,7.859748070798993,13.957613
2022-10-25 22:15:00,136.93,86.2461917884644,8.143556284098164,-50.683808211535606,50.683808211535606,8.427364497397337,12.950766,7.859748070798993,13.874174
2022-10-25 22:30:00,130.29,86.2461917884644,8.143556284098164,-44.04380821153559,44.04380821153559,8.427364497397337,13.1123495,7.859748070798993,13.664716
2022-10-25 22:45:00,125.92,86.2461917884644,8.143556284098164,-39.6738082115356,39.6738082115356,8.427364497397337,13.348524,7.859748070798993,13.412637
2022-10-25 23:00:00,125.53,96.37323397460898,8.30372548604421,-29.156766025391022,29.156766025391022,8.747702901289426,13.448848,7.859748070798993,12.972768
2022-10-25 23:15:00,118.31,99.82027064896603,8.40605194949232,-18.489729351033972,18.489729351033972,8.952355828185647,13.430859,7.859748070798993,12.328924
2022-10-25 23:30:00,107.46,104.41868025568402,8.368799914264141,-3.0413197443159703,3.0413197443159703,8.952355828185647,13.522811,7.785244000342635,11.948281
2022-10-25 23:45:00,87.56,98.66965355927998,8.603616870656046,11.109653559279977,11.109653559279977,9.347485670513098,13.626043,7.859748070798993,12.007822
2022-10-26 00:00:00,71.9,82.07897153952652,8.386893927056589,10.178971539526515,10.178971539526515,9.174362341635272,13.031881,7.599425512477905,11.9176855
2022-10-26 00:15:00,70.43,77.55538151629095,8.118630000528185,7.125381516290943,7.125381516290943,8.576634334984458,13.10019,7.660625666071912,12.342775
2022-10-26 00:30:00,71.24,75.78952397669825,8.118630000528185,4.549523976698254,4.549523976698254,8.576634334984458,13.207232,7.660625666071912,12.620903
2022-10-26 00:45:00,78.49,75.78952397669825,8.133212044558652,-2.7004760233017464,2.7004760233017464,8.576634334984458,13.180823,7.689789754132846,12.526066
2022-10-26 01:00:00,81.02,75.78952397669825,8.118630000528185,-5.2304760233017475,5.2304760233017475,8.576634334984458,13.155637,7.660625666071912,12.306996
