datetime,power,gfs_wind_speed_10m
2021-05-02 16:30:00,14.2126,2.6575327
2021-05-02 16:45:00,13.5687,2.593899
2021-05-02 17:00:00,13.0585,2.4693012
2021-05-02 17:15:00,12.6809,2.2610705
2021-05-02 17:30:00,12.4488,2.1353846
2021-05-02 17:45:00,12.3782,2.1314704
2021-05-02 18:00:00,12.4783,2.1322217
2021-05-02 18:15:00,12.7592,1.9536191
2021-05-02 18:30:00,13.1827,1.7431321
2021-05-02 18:45:00,13.7757,1.964895
2021-05-02 19:00:00,14.5531,2.9487236
2021-05-02 19:15:00,15.5513,3.6763775
2021-05-02 19:30:00,16.8192,3.943225
2021-05-02 19:45:00,18.4034,6.3961177
2021-05-02 20:00:00,20.3725,5.9643183
2021-05-02 20:15:00,22.7793,5.9135704
2021-05-02 20:30:00,25.4846,5.2189097
2021-05-02 20:45:00,28.4333,4.929711
2021-05-02 21:00:00,31.5656,4.6309223
2021-05-02 21:15:00,34.8448,4.621017
2021-05-02 21:30:00,38.1062,4.5804787
2021-05-02 21:45:00,41.2561,4.480677
2021-05-02 22:00:00,44.1768,4.3096337
2021-05-02 22:15:00,46.7263,4.2991233
2021-05-02 22:30:00,49.4186,4.292495
2021-05-02 22:45:00,52.2355,4.073029
2021-05-02 23:00:00,55.0225,4.2670937
2021-05-02 23:15:00,57.6733,4.417474
2021-05-02 23:30:00,59.8398,5.1077514
2021-05-02 23:45:00,61.4129,5.939782
2021-05-03 00:00:00,44.7324,4.4749246
2021-05-03 00:15:00,44.4636,5.627793
2021-05-03 00:30:00,44.5403,6.4768333
2021-05-03 00:45:00,44.9445,7.0286584
2021-05-03 01:00:00,45.6435,7.2203813
2021-05-03 01:15:00,46.6073,7.455176
2021-05-03 01:30:00,47.8069,8.584837
2021-05-03 01:45:00,49.2949,8.367561
2021-05-03 02:00:00,51.0667,7.9503446
2021-05-03 02:15:00,53.118,7.063931
2021-05-03 02:30:00,55.3107,7.6400714
2021-05-03 02:45:00,57.6278,7.670368
2021-05-03 03:00:00,60.003,6.5788155
2021-05-03 03:15:00,62.268,6.4107127
2021-05-03 03:30:00,64.4595,6.5916433
2021-05-03 03:45:00,66.3714,7.2044396
2021-05-03 04:00:00,67.8876,7.2407823
2021-05-03 04:15:00,68.9673,6.8554616
2021-05-03 04:30:00,69.7258,6.044953
2021-05-03 04:45:00,70.132,5.328423
2021-05-03 05:00:00,70.1574,4.8477116
2021-05-03 05:15:00,69.7511,4.338257
2021-05-03 05:30:00,69.0429,4.2882257
2021-05-03 05:45:00,67.9877,4.209118
2021-05-03 06:00:00,66.594,4.6250777
2021-05-03 06:15:00,64.898,5.0069084
2021-05-03 06:30:00,63.1299,5.0515556
2021-05-03 06:45:00,61.342,4.8442507
2021-05-03 07:00:00,59.5373,4.420819
2021-05-03 07:15:00,57.7645,3.645039
2021-05-03 07:30:00,55.9571,3.550442
2021-05-03 07:45:00,54.1416,3.671728
2021-05-03 08:00:00,52.3426,3.771721
2021-05-03 08:15:00,50.667,3.255241
2021-05-03 08:30:00,48.9866,2.9682412
