datetime,actual_power,predicted_power,wind,wind_2,wind_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,fused_corrected_wind_speed,corrected_wind_ec_10m,original_ec_wind_speed_10m,corrected_wind_ec_70m,original_ec_wind_speed_70m,error,abs_error
2022-09-10 03:30:00,6.8142,45.59362374082529,6.396620498865769,40.91675380650975,261.72894614576427,3,9,0,6.387150785939338,4.783660603696447,6.396620498865769,5.839344976339486,6.890125,6.95389602139205,10.713789,38.77942374082529,38.77942374082529
2022-09-10 03:45:00,2.6427,45.59362374082529,6.396620498865769,40.91675380650975,261.72894614576427,3,9,0,6.396620498865769,4.876013719226716,6.396620498865769,5.839344976339486,6.859466,6.95389602139205,10.813187,42.95092374082529,42.95092374082529
2022-09-10 04:00:00,1.1835,45.59362374082529,6.360064305442122,40.45041796935898,257.26725946713464,4,9,0,6.396620498865769,4.811188227154361,6.360064305442122,5.839344976339486,6.855409,6.880783634544757,10.748678,44.410123740825284,44.410123740825284
2022-09-10 04:15:00,0.5214,45.59362374082529,6.337158024365973,40.15957182578604,254.49755285088165,4,9,0,6.360064305442122,4.61987956592863,6.337158024365973,5.793532414187188,6.7437296,6.880783634544757,10.580344,45.07222374082529,45.07222374082529
2022-09-10 04:30:00,0.0,44.49954195619137,6.326278294090914,40.02179705428584,253.1890259950402,4,9,0,6.337158024365973,4.61376745657816,6.326278294090914,5.771772953637071,6.620378,6.880783634544757,10.383971,44.49954195619137,44.49954195619137
2022-09-10 04:45:00,0.0,44.56656142620919,6.224435976867933,38.74360323012786,241.1570778191045,4,9,0,6.326278294090914,4.783660603696447,6.224435976867933,5.57962538547254,6.536931,6.869246568263326,10.024689,44.56656142620919,44.56656142620919
2022-09-10 05:00:00,0.0,44.16740665376243,6.060286530199381,36.72707282811605,222.5765847538834,5,9,0,6.224435976867933,4.789772713046917,6.060286530199381,5.152258670352473,6.129097,6.96831439004629,9.157924,44.16740665376243,44.16740665376243
2022-09-10 05:15:00,0.0,41.8058405732922,5.786698528040879,33.48587985443047,193.77269166378656,5,9,0,6.060286530199381,4.789772713046917,5.786698528040879,4.8470018493738785,5.568741,6.726395206707879,8.160543,41.8058405732922,41.8058405732922
2022-09-10 05:30:00,0.0,41.8058405732922,5.601918553858475,31.38149148406383,175.7965593923289,5,9,0,5.786698528040879,4.61987956592863,5.601918553858475,4.656621302183836,5.1619153,6.547215805533115,7.2444425,41.8058405732922,41.8058405732922
2022-09-10 05:45:00,7.256,35.16427861095333,5.463074082840089,29.84517843459908,163.0464208037962,5,9,0,5.601918553858475,4.61376745657816,5.463074082840089,4.801436665898575,4.9557734,6.124711499781604,6.7678576,27.90827861095333,27.90827861095333
2022-09-10 06:00:00,7.8109,39.366526660229354,5.581373857383332,31.15173413588209,173.86947451816823,6,9,1,5.463074082840089,5.20013604844694,5.581373857383332,5.038036214985058,4.9983816,6.124711499781604,7.233492,31.555626660229354,31.555626660229354
2022-09-10 06:15:00,9.5584,40.90769288867094,5.81509263344104,33.81530233550025,196.6391155087491,6,9,1,5.581373857383332,5.227451441736772,5.81509263344104,5.061205746495108,5.247722,6.568979520386971,7.8869834,31.349292888670938,31.349292888670938
2022-09-10 06:30:00,16.5488,40.90769288867094,5.721593155563466,32.7366282377907,187.30566806156892,6,9,1,5.81509263344104,5.577416978767539,5.721593155563466,4.87420679073996,5.3346825,6.568979520386971,7.9053044,24.358892888670937,24.358892888670937
2022-09-10 06:45:00,6.6856,40.41121567213475,5.578099470263989,31.11519370015939,173.56364549602048,6,9,1,5.721593155563466,5.340262886242126,5.578099470263989,4.608983134994862,5.359369,6.547215805533115,7.499973,33.72561567213475,33.72561567213475
2022-09-10 07:00:00,4.2624,36.052200227010786,5.523827298740952,30.51266802631576,168.54670860118318,7,9,1,5.578099470263989,5.472033851493974,5.523827298740952,4.500438791948788,5.341869,6.547215805533115,7.2941437,31.789800227010787,31.789800227010787
2022-09-10 07:15:00,4.4357,38.298082321026,5.551231478568048,30.816170928644794,171.06769810802655,7,9,1,5.523827298740952,5.940227719296996,5.551231478568048,4.6594319658222165,5.0964184,6.443030991313879,7.0044312,33.862382321026004,33.862382321026004
2022-09-10 07:30:00,9.3027,34.90842937346313,5.466866952953639,29.886634281296608,163.38625328743174,7,9,1,5.551231478568048,6.081930510238173,5.466866952953639,4.71698480417697,5.091953,6.216749101730307,6.8624926,25.605729373463127,25.605729373463127
2022-09-10 07:45:00,5.198,39.366526660229354,5.630694973035853,31.704725879371225,178.51964063045526,7,9,1,5.466866952953639,6.081930510238173,5.630694973035853,4.7141741405385895,5.1191654,6.547215805533115,7.319444,34.168526660229354,34.168526660229354
2022-09-10 08:00:00,2.0467,40.90769288867094,5.781729075577792,33.428391103381635,193.2739007922076,8,9,1,5.630694973035853,6.271993021189717,5.781729075577792,4.984206343273738,5.175382,6.579251807881847,7.8606315,38.860992888670935,38.860992888670935
2022-09-10 08:15:00,0.9058,40.90769288867094,5.781729075577792,33.428391103381635,193.2739007922076,8,9,1,5.781729075577792,6.203940238059944,5.781729075577792,4.984206343273738,5.194886,6.579251807881847,7.832674,40.00189288867094,40.00189288867094
2022-09-10 08:30:00,3.3808,36.052200227010786,5.521200713097944,30.48365731431324,168.30639050161963,8,9,1,5.781729075577792,6.347328502145082,5.521200713097944,4.71898268752864,5.1591034,6.323418738667248,7.189547,32.671400227010785,32.671400227010785
2022-09-10 08:45:00,3.5378,30.697336092459143,5.1008182127557085,26.01834643958034,132.71485538479905,8,9,1,5.521200713097944,6.576217426632862,5.1008182127557085,4.47524049467773,4.6058335,5.726395930833688,6.2126837,27.159536092459142,27.159536092459142
2022-09-10 09:00:00,3.3638,30.179178718189043,5.041100482738044,25.412694077061744,128.1079443795502,9,9,1,5.1008182127557085,6.502213111973306,5.041100482738044,4.31766140871318,4.663047,5.764539556762909,5.2381663,26.81537871818904,26.81537871818904
2022-09-10 09:15:00,4.5075,27.63003345973556,4.975882220328279,24.75940387057908,123.19987750554161,9,9,1,5.041100482738044,6.387150785939338,4.975882220328279,4.2618932507927925,4.4636793,5.689871189863766,4.958867,23.12253345973556,23.12253345973556
2022-09-10 09:30:00,1.3249,24.452429904237214,4.873313317092775,23.749182686553784,115.73720825645171,9,9,1,4.975882220328279,6.396620498865769,4.873313317092775,4.211142448276661,4.0310373,5.535484185908889,4.582426,23.127529904237214,23.127529904237214
2022-09-10 09:45:00,0.0,24.01194655370267,4.872102539121033,23.73738315170962,115.65096472553326,9,9,1,4.873313317092775,6.396620498865769,4.872102539121033,4.137293259683423,3.3956642,5.606911818558643,3.869297,24.01194655370267,24.01194655370267
2022-09-10 10:00:00,0.0,27.18955010920102,4.9044160851220076,24.05329713600348,117.96737737403458,10,9,1,4.872102539121033,6.360064305442122,4.9044160851220076,4.282085007954992,2.5871015,5.526747162289023,2.9680574,27.18955010920102,27.18955010920102
2022-09-10 10:15:00,0.0,24.452429904237214,4.872764749278141,23.743836301807665,115.69812854407904,10,9,1,4.9044160851220076,6.337158024365973,4.872764749278141,4.282085007954992,1.5318193,5.46344449060129,1.7978982,24.452429904237214,24.452429904237214
2022-09-10 10:30:00,0.0,24.01194655370267,4.799384618571347,23.034092716979234,110.54947028861642,10,9,1,4.872764749278141,6.326278294090914,4.799384618571347,4.135324746541404,0.5305011,5.46344449060129,0.66046816,24.01194655370267,24.01194655370267
2022-09-10 10:45:00,0.0,23.248204348836627,4.695341348605758,22.046230379926936,103.51457708375935,10,9,1,4.799384618571347,6.224435976867933,4.695341348605758,4.135324746541404,0.60711586,5.255357950670112,0.47707108,23.248204348836627,23.248204348836627
2022-09-10 11:00:00,0.0,23.643606845462397,4.78167283045547,22.864395057516028,109.33005663132472,11,9,1,4.695341348605758,6.060286530199381,4.78167283045547,4.307987710240828,1.1143289,5.255357950670112,1.028108,23.643606845462397,23.643606845462397
2022-09-10 11:15:00,0.0,24.01194655370267,4.78167283045547,22.864395057516028,109.33005663132472,11,9,1,4.78167283045547,5.786698528040879,4.78167283045547,4.307987710240828,1.5452656,5.255357950670112,1.5009805,24.01194655370267,24.01194655370267
2022-09-10 11:30:00,0.0,23.00409610761027,4.643996380206849,21.566702379374313,100.15568778281275,11,9,1,4.78167283045547,5.601918553858475,4.643996380206849,4.307987710240828,1.9540015,4.980005050172869,1.9504945,23.00409610761027,23.00409610761027
2022-09-10 11:45:00,0.0,22.635756399369992,4.643996380206849,21.566702379374313,100.15568778281275,11,9,1,4.643996380206849,5.463074082840089,4.643996380206849,4.307987710240828,2.3683875,4.980005050172869,2.4153697,22.635756399369992,22.635756399369992
2022-09-10 12:00:00,0.0,22.87986464059635,4.729230319557843,22.365619415425176,105.77216545512029,12,9,1,4.643996380206849,5.581373857383332,4.729230319557843,4.4017684145598,2.6302118,5.056692224555885,2.7264206,22.87986464059635,22.87986464059635
2022-09-10 12:15:00,0.0,22.87986464059635,4.729230319557843,22.365619415425176,105.77216545512029,12,9,1,4.729230319557843,5.81509263344104,4.729230319557843,4.4017684145598,2.6792748,5.056692224555885,2.789305,22.87986464059635,22.87986464059635
