height,hour,obs_mean,obs_std,obs_median,obs_q25,obs_q75,obs_count,ec_mean,ec_std,ec_median,ec_q25,ec_q75,ec_count,gfs_mean,gfs_std,gfs_median,gfs_q25,gfs_q75,gfs_count
30m,15,7.141339449541284,3.1947914880388657,6.75,4.53,9.23,2180,6.652771859275229,3.3772645006731854,6.3807945,3.854574625,8.854225999999999,2180,6.817828214844036,3.392833951646709,6.4431197000000004,4.253850575,9.038252499999999,2180
30m,16,7.236279816513761,3.1839452790273044,6.8,4.7,9.34,2180,6.738225078362385,3.454480955924834,6.4496745,3.9008931749999998,8.958222500000002,2180,6.836682385977064,3.4075316897694545,6.4429576,4.255973200000001,9.00641325,2180
30m,17,7.254788990825688,3.272248042612279,6.8,4.7,9.4,2180,6.728545710302752,3.424372999570948,6.42633625,4.03859055,8.926482750000002,2180,6.830604197252294,3.4411389993331634,6.496708699999999,4.2001656999999994,8.90080025,2180
30m,18,7.145133027522936,3.2360364811175195,6.63,4.64,9.192499999999999,2180,6.779610524050459,3.416087135793627,6.611827699999999,4.2929163500000005,8.80622725,2180,6.784488745963303,3.4795761520567585,6.4691125,4.280928100000001,8.84446675,2180
30m,19,6.845799311926605,3.012511371801918,6.36,4.575,8.62,2180,6.770330432197247,3.3751803043402666,6.68382015,4.21862275,8.9474625,2180,6.7923896320733945,3.4734500474784413,6.40562,4.363715075,8.819628250000001,2180
30m,20,6.4168910550458715,2.816719775941459,6.03,4.37,8.02,2180,6.582071837027523,3.1075809429059684,6.67756065,4.2060971,8.617755,2180,6.723197381889908,3.2694937306553573,6.423442,4.476316875,8.5813395,2180
30m,21,6.122660550458717,2.505697994046799,5.92,4.31,7.57,2180,6.785505003055046,2.939557034027635,6.9563310000000005,4.661516000000001,8.551971250000001,2180,6.667296702743119,3.0800728067281415,6.56674215,4.6147807,8.4157,2180
30m,22,6.117422018348623,2.301205493663596,6.03,4.42,7.41,2180,6.997137430481652,2.831367504047954,7.02282405,5.002166175,8.68681525,2180,6.7443506360229355,3.0368572414476835,6.66675225,4.7563555,8.40941925,2180
30m,23,6.229201834862385,2.247925606518754,6.14,4.59,7.57,2180,7.254517560889909,2.6685292966193073,7.3566825,5.51393415,8.976517,2180,6.889503944747707,2.890178617056323,6.7670762,5.08147675,8.28163725,2180
50m,0,6.513267889908256,2.78537163871768,6.32,4.33,8.31,2180,7.737541948032111,3.0843490126923903,7.9600729999999995,5.48228635,9.839820750000001,2180,7.383208800013763,3.245455944756789,7.2337179,5.162297875,9.180393124999998,2180
50m,1,6.382420183486238,2.800719037610311,6.17,4.28,8.21,2180,7.8139418339220175,3.033628033067895,7.96625705,5.707043875,9.77226325,2180,7.394121135559634,3.2511880752876086,7.50565415,5.245337975,9.18549775,2180
50m,2,6.28871959614502,2.798348976018808,6.01,4.18,8.1,2179,7.745587204160623,3.0326118219042044,7.953916,5.74101115,9.694933,2179,7.434887222055989,3.199413720479153,7.5486746,5.3465655000000005,9.308899,2179
50m,3,6.181105504587156,2.7529173674490717,5.91,4.18,7.9625,2180,7.577924362206423,2.9956972797199786,7.8948035,5.494992425,9.5127305,2180,7.425578502591743,3.1515180433121084,7.53587425,5.30821375,9.38230475,2180
50m,4,6.1221972477064215,2.7154560058113226,5.86,4.02,7.9,2180,7.415455030137616,2.9919811456403638,7.66431085,5.23563425,9.466852249999999,2180,7.387141912018349,3.184361610418203,7.57834935,5.290329,9.474177000000001,2180
50m,5,6.043932996787517,2.700348716913677,5.76,4.02,7.9,2179,7.342485944270307,3.0222952750794585,7.5499897,5.1554337,9.4953135,2179,7.362539631817347,3.179725731672064,7.590148,5.22547785,9.5447665,2179
50m,6,5.96331300593632,2.60251093231723,5.76,3.92,7.69,2180,7.370922415834862,2.999734450539785,7.4342351,5.249020375000001,9.485230249999999,2180,7.3628186423642195,3.0937334205888045,7.60026175,5.221595725,9.492560000000001,2180
50m,7,5.987873448461954,2.6094320271930633,5.71,4.02,7.7,2180,7.143980891137614,3.0043010788426883,7.2754071499999995,4.8471153750000004,9.277987750000001,2180,7.329121148330276,3.0134109749051015,7.41887285,5.298593975,9.281400625,2180
50m,8,5.917733944954128,2.6027240014826583,5.66,3.97,7.54,2180,6.735708651233945,3.0421488958685527,6.620200349999999,4.5019065,8.88624675,2180,7.120486592894496,3.1004883182992535,7.10981395,4.8126285,9.1892345,2180
50m,9,6.051695358877496,2.7588991879510907,5.81,4.02,7.8,2180,6.433962181332569,3.162365781800537,6.218329300000001,4.077047,8.62556175,2180,6.951220388665138,3.2974179098567635,6.9221895,4.394608325,9.064032,2180
50m,10,6.3150998381003784,2.899107666001942,6.01,4.18,8.05,2180,6.316107164660551,3.281954478215789,6.11785535,3.796019625,8.69553975,2180,6.871739752413761,3.456275010925803,6.73509375,4.3204479,9.195179875000001,2180
50m,11,6.497434603028912,3.0512021114320813,6.17,4.18,8.46,2179,6.458398662028453,3.369421164861546,6.2636065,3.7655472000000003,8.737689750000001,2179,6.876245233744838,3.5002913048890423,6.69049,4.18260815,9.161633,2179
50m,12,6.817440366972478,3.1581145377170743,6.52,4.33,8.932500000000001,2180,6.7144378717706426,3.4146005753179574,6.4169564999999995,4.033900675,9.02235725,2180,6.954262695880733,3.5277800758823665,6.562111399999999,4.1800341,9.18957925,2180
50m,13,7.129495412844037,3.3133371746795426,6.78,4.48,9.23,2180,6.756462538146788,3.46418244257603,6.4204088,3.94788825,9.051133,2180,6.967884793674312,3.545656911384548,6.6185917,4.184710725,9.212909,2180
50m,14,7.231238532110092,3.3513733703705513,6.904999999999999,4.58,9.43,2180,6.730818370422019,3.527452009354501,6.38554215,3.814855525,8.92809575,2180,6.968840275481652,3.5426472643333944,6.561783999999999,4.23929925,9.255584500000001,2180
50m,15,7.307279816513761,3.459488549350822,6.88,4.48,9.53,2180,6.810794109678898,3.5218395035896686,6.5292335,3.8921068,9.106817375,2180,6.982502736573395,3.538167542094105,6.60270335,4.3218715,9.2880235,2180
50m,16,7.412685779816514,3.44233975561791,6.955,4.7275,9.7025,2180,6.91059686553211,3.603849381392833,6.590540000000001,3.9461378000000003,9.217637,2180,7.01474335533945,3.555418262949893,6.5980625,4.336173375,9.280664250000001,2180
50m,17,7.4552293577981645,3.588543303421718,6.98,4.69,9.74,2180,6.9407769594770645,3.584854720413545,6.6283585,4.119687300000001,9.253725,2180,7.03592350464679,3.598893822472936,6.688931950000001,4.2869725,9.1862155,2180
50m,18,7.403715596330275,3.5602804691013317,6.93,4.69,9.63,2180,7.069949388055046,3.61267249049801,6.89138535,4.4097402500000005,9.27496375,2180,7.059759024610092,3.6545901825445,6.73486235,4.38623165,9.284673875000001,2180
50m,19,7.186802752293578,3.3788428067603946,6.68,4.63,9.28,2180,7.15167675386422,3.629084981084832,7.0271932,4.42260145,9.6333775,2180,7.161115604360092,3.675499045434784,6.846708,4.50832285,9.42864225,2180
50m,20,6.811559633027524,3.2304147400843797,6.395,4.43,8.77,2180,7.064866228344036,3.4450363672169795,7.097049650000001,4.2776289499999995,9.50442575,2180,7.2035061334816515,3.518570244493317,6.915278499999999,4.729933875,9.2899815,2180
50m,21,6.504412844036697,2.936105844960523,6.27,4.28,8.36,2180,7.271628310917432,3.3175751700546967,7.4321327,4.755459875,9.3796505,2180,7.253676471169725,3.3720416929034314,7.1891592,4.9225382,9.279683875,2180
50m,22,6.455286697247707,2.762205895941044,6.27,4.38,8.31,2180,7.377193072981651,3.244828631809585,7.31106125,4.900169375,9.47078125,2180,7.34118369737156,3.3396053824179366,7.271075,5.05157155,9.24512525,2180
50m,23,6.513096330275229,2.7012399545820944,6.37,4.43,8.41,2180,7.620420811807341,3.1153871055313105,7.7107685,5.446577575,9.779201749999999,2180,7.393286193715596,3.25032468434684,7.2456235499999995,5.076148425,9.232850500000001,2180
70m,0,6.832879357798165,3.0119547407210407,6.63,4.58,8.78,2180,8.205529453605504,3.5219633419519845,8.504332999999999,5.3965566,10.718598125,2180,7.88576045630734,3.6422539118726536,7.741747999999999,5.2606124,10.17157225,2180
70m,1,6.705733027522935,3.0434382540107734,6.42,4.42,8.62,2180,8.326126539233945,3.4215688349800377,8.4860835,5.80894125,10.668621,2180,7.91381255512844,3.6452273647901636,8.099978,5.276891925,10.120469499999999,2180
70m,2,6.624873795318954,3.114273240202853,6.37,4.37,8.57,2179,8.246313390000001,3.4036951583037105,8.506552,5.8938655,10.512955999999999,2179,7.97425557695732,3.5996435000992895,8.105788,5.3149732,10.288235,2179
70m,3,6.535344036697247,3.0635894296811688,6.22,4.37,8.52,2180,8.032987172486239,3.377622764548083,8.2436875,5.5410372500000005,10.31689425,2180,7.970810810316514,3.5589063450459064,8.132078499999999,5.424348925,10.331158,2180
70m,4,6.4580275229357795,2.9897720338338365,6.22,4.27,8.32,2180,7.853303971486237,3.375223383159368,7.90737415,5.335609075000001,10.278803250000001,2180,7.928609788766056,3.584627306392638,8.16469275,5.45299645,10.464099749999999,2180
70m,5,6.374235888022028,3.008506199313901,6.11,4.17,8.27,2179,7.759931062570903,3.4056990514868253,7.8437796,5.230374,10.273952999999999,2179,7.8726464938320335,3.591008190121535,8.036392,5.2882265,10.509514,2179
70m,6,6.2912970858068,2.9031188217011215,6.01,4.07,8.16,2180,7.7587739817431185,3.3809147275862936,7.82209495,5.241177175,10.26279075,2180,7.84695666587844,3.5074047838894904,8.1165715,5.221695375,10.38159175,2180
70m,7,6.322507285483001,2.914405802312741,6.01,4.22,8.06,2180,7.5098573498256895,3.333214280234261,7.60152275,4.943002249999999,9.9353465,2180,7.781393979165137,3.377430469683818,7.9760893,5.346558675,10.1027915,2180
70m,8,6.241077981651376,2.8446260002180943,6.01,4.27,7.96,2180,7.003578846138533,3.2809635560530017,6.78486275,4.57477975,9.31482375,2180,7.471165410816514,3.373374172369101,7.422897,4.893354175,9.81257675,2180
70m,9,6.230249595250944,2.9681288511849857,5.86,4.12,8.06,2180,6.631984756697248,3.3298204863800094,6.38411815,4.104101975,9.006464000000001,2180,7.2124949776926615,3.4941327748435977,7.24610725,4.4697957,9.5195695,2180
70m,10,6.338317593092283,2.9907519422576416,6.01,4.22,8.16,2180,6.477818062151376,3.4092566839164427,6.27520825,3.860149475,8.96871825,2180,7.085396046135322,3.610016179305138,6.99802535,4.4132454249999995,9.50782425,2180
70m,11,6.424270307480496,3.0296592641780187,6.17,4.17,8.37,2179,6.595090781263424,3.4961934272129267,6.380291,3.79357235,8.97467,2179,7.052943325832951,3.642137311223757,6.8638844,4.283613150000001,9.421004,2179
70m,12,6.714876146788991,3.150779230568138,6.42,4.27,8.83,2180,6.854969756747706,3.549669226517138,6.52857335,4.0663067,9.253568625,2180,7.11345575675688,3.672714116459048,6.7321156,4.2385374250000005,9.4824945,2180
