datetime,actual_power,predicted_power,error,abs_error,relative_error,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h,original_ec_wind_speed_10m,original_ec_wind_speed_70m,original_gfs_wind_speed_10m,original_gfs_wind_speed_70m,fused_wind
2022-09-17 02:45:00,1.8435,58.39953884858591,56.556038848585914,56.556038848585914,3067.862139506358,7.7180381350000005,59.56811265331429,459.7489650882557,2,9,0,7.654107927500001,6.6006619989,6.059689,10.446574,6.460873,10.980238,7.7180381350000005
2022-09-17 03:00:00,1.8435,58.39953884858591,56.556038848585914,56.556038848585914,3067.862139506358,7.726608853500001,59.7004843749846,461.28229112999446,3,9,0,7.7180381350000005,6.912963298000001,6.161204,10.50571,6.3665013,10.822362,7.726608853500001
2022-09-17 03:15:00,1.6673,58.39953884858591,56.732238848585915,56.732238848585915,3402.6413068027223,7.685461674000001,59.066321142522895,453.95194736503566,3,9,0,7.726608853500001,6.8194717736,6.1639185,10.425145,6.32727,10.683244,7.685461674000001
2022-09-17 03:30:00,1.9628,55.081145308058524,53.11834530805852,53.11834530805852,2706.25356824094,7.64201405,58.40037874039741,446.2965148594383,3,9,0,7.685461674000001,6.3638877445,6.151834,10.2263365,6.336739,10.670058,7.64201405
2022-09-17 03:45:00,3.7722,55.081145308058524,51.308945308058526,51.308945308058526,1360.186235407452,7.517795841000002,56.51725430695692,424.8851793735802,3,9,0,7.64201405,6.0633477113000005,5.992767,9.912105,6.341637,10.703214,7.517795841000002
2022-09-17 04:00:00,3.7722,51.52377706036644,47.751577060366444,47.751577060366444,1265.88136720689,7.3669496180000005,54.27194667415035,399.8186968192483,4,9,0,7.517795841000002,6.084022795900001,5.732825,9.610153,6.385014,10.739749,7.3669496180000005
2022-09-17 04:15:00,4.158,46.98218408361214,42.82418408361214,42.82418408361214,1029.9226546565626,7.197405760200001,51.80264967696015,372.84468917857566,4,9,0,7.3669496180000005,6.2006393855,5.4491396,9.284814,6.4268746,10.738391,7.197405760200001
2022-09-17 04:30:00,4.8804,43.64992070339603,38.769520703396026,38.769520703396026,794.3922757142201,7.082159514000001,50.15698338174072,355.219757050535,4,9,0,7.197405760200001,6.329786135,5.274585,9.087179,6.423284,10.715162,7.082159514000001
2022-09-17 04:45:00,1.3213,42.94302998529052,41.62172998529052,41.62172998529052,3150.0590078168943,7.030446186999999,49.42717358830283,347.49508408807066,4,9,0,7.082159514000001,6.3278525132,5.193914,9.027403,6.399989,10.724711,7.030446186999999
2022-09-17 05:00:00,1.3213,42.30746990178385,40.986169901783846,40.986169901783846,3101.9578893202197,6.9691789316,48.56945498065732,338.4892223704917,5,9,0,7.030446186999999,6.409605051600001,5.1024323,8.935581,6.360244,10.801149,6.9691789316
2022-09-17 05:15:00,1.2958,41.59422015945806,40.29842015945806,40.29842015945806,3109.9259027986936,6.8902003910000005,47.474861428136556,327.11130877481736,5,9,0,6.9691789316,6.472853905500001,5.025252,8.82038,6.2803354,10.814022,6.8902003910000005
2022-09-17 05:30:00,1.1935,41.59422015945806,40.40072015945806,40.40072015945806,3385.062406447576,6.7876530975,46.07223457200134,312.7223457013915,5,9,0,6.8902003910000005,6.481784816,4.9379,8.693027,6.1758833,10.733098,6.7876530975
2022-09-17 05:45:00,0.4603,41.59422015945806,41.133920159458064,41.133920159458064,8936.328321925968,6.737136341,45.389006077222874,305.7919223247281,5,9,0,6.7876530975,6.4414980948,4.921845,8.690231,6.0884314,10.571976,6.737136341
2022-09-17 06:00:00,0.2771,39.577035286532116,39.29993528653212,39.29993528653212,14182.581691906873,6.7665430837,45.786105303568306,309.81365417142,6,9,1,6.737136341,7.088257488999999,4.9507046,8.804736,6.0873995,10.518013,6.7665430837
2022-09-17 06:15:00,0.3715,39.577035286532116,39.20553528653212,39.20553528653212,10553.306657120176,6.797080140000001,46.20029842958243,314.027130917788,6,9,1,6.7665430837,6.968462168000001,4.872243,8.782002,6.2445736,10.701132,6.797080140000001
2022-09-17 06:30:00,1.6943,39.577035286532116,37.88273528653212,37.88273528653212,2235.892997871854,6.7435287485,45.475179981845976,306.66318355079005,6,9,1,6.797080140000001,6.8335486315,4.69073,8.593546,6.3820915,10.864213,6.7435287485
2022-09-17 06:45:00,3.9036,39.577035286532116,35.67343528653212,35.67343528653212,913.8599035543122,6.684442725000001,44.68177454380544,298.6727627894305,6,9,1,6.7435287485,6.681803330600001,4.553129,8.443272,6.449241,10.933691,6.684442725000001
2022-09-17 07:00:00,5.0083,39.264296900119646,34.25599690011965,34.25599690011965,683.9845223273604,6.634956374100001,44.02264608621023,292.088336254449,7,9,1,6.684442725000001,6.646573644000001,4.4620748,8.330188,6.4704423,10.976472,6.634956374100001
2022-09-17 07:15:00,5.0083,38.96388560740581,33.95558560740581,33.95558560740581,677.9862536111492,6.626786880400001,43.91430435824158,291.01073598308784,7,9,1,6.634956374100001,6.678031595,4.4634767,8.320653,6.45947,10.942138,6.626786880400001
2022-09-17 07:30:00,5.1007,38.2029364357038,33.1022364357038,33.1022364357038,648.9743833357454,6.590270490500002,43.431665137955136,286.2264211119434,7,9,1,6.626786880400001,6.7581448645,4.438832,8.323187,6.4122763,10.819601,6.590270490500002
2022-09-17 07:45:00,4.6261,38.81608611483011,34.189986114830106,34.189986114830106,739.0671632892369,6.729543189500001,45.28675153934585,304.75915039618354,7,9,1,6.590270490500002,6.9213621615,4.742359,8.3606205,6.5111847,10.56962,6.729543189500001
2022-09-17 08:00:00,4.1985,39.577035286532116,35.37853528653211,35.37853528653211,842.6470216093227,6.936925077600001,48.12092953223578,333.81128282958883,8,9,1,6.729543189500001,7.167534870000001,5.2149463,8.27588,6.707686,10.242024,6.936925077600001
2022-09-17 08:15:00,4.1985,41.149930891440754,36.95143089144075,36.95143089144075,880.1102966161658,7.1126171224000005,50.589322329857666,359.82248021395833,8,9,1,6.936925077600001,7.4692190191,5.4698286,7.9879756,7.199182,9.976881,7.1126171224000005
2022-09-17 08:30:00,3.9832,40.2902850288579,36.3070850288579,36.3070850288579,911.5054463172161,6.9769635913000005,48.6780209543258,339.6247798948696,8,9,1,7.1126171224000005,7.654107927500001,5.5445275,7.8333344,6.8202195,9.815465,6.9769635913000005
2022-09-17 08:45:00,4.1594,41.149930891440754,36.990530891440756,36.990530891440756,889.3237198275806,7.1107298868,50.56247952303074,359.5361342951277,8,9,1,6.9769635913000005,7.7180381350000005,6.1440563,7.3553376,6.892466,9.412997,7.1107298868
