datetime,actual_power,predicted_power,error,abs_error,relative_error,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h,original_ec_wind_speed_70m
2022-10-01 13:00:00,78.14,93.85933248694657,15.71933248694657,15.71933248694657,20.11688313915393,10.75695854,115.71215703127892,1244.7108757594367,13,10,1,11.05593975,14.03187041,10.75695854
2022-10-01 13:15:00,69.85,94.83196234298372,24.98196234298372,24.98196234298372,35.76515725040402,10.51304253,110.5240632375888,1161.9441774051804,13,10,1,10.75695854,13.99037254,10.51304253
2022-10-01 13:30:00,66.78,84.93292533057117,18.152925330571165,18.152925330571165,27.1831765915736,10.421360790000001,108.60476071534946,1131.8093949262752,13,10,1,10.51304253,13.7959637,10.421360790000001
2022-10-01 13:45:00,66.78,84.35719863050655,17.577198630506544,17.577198630506544,26.321052153151303,9.978279850000002,99.56606876491605,993.4980977006765,13,10,1,10.421360790000001,13.49052758,9.978279850000002
2022-10-01 14:00:00,66.78,81.71509664090323,14.935096640903225,14.935096640903225,22.36462509533807,10.00863035,100.17268148294113,1002.5913401310477,14,10,1,9.978279850000002,13.28699844,10.00863035
2022-10-01 14:15:00,66.78,82.98130993284201,16.20130993284201,16.20130993284201,24.26072166878697,9.97390554,99.47879172084271,992.1920718570192,14,10,1,10.00863035,13.000496285,9.97390554
2022-10-01 14:30:00,55.2,81.71509664090323,26.515096640903224,26.515096640903224,48.03459535525319,10.010167065000001,100.20344466921074,1003.0532216272832,14,10,1,9.97390554,12.914280159999999,10.010167065000001
2022-10-01 14:45:00,61.93,79.59066853992572,17.660668539925716,17.660668539925716,28.517146031122238,9.8875061,97.7627768775372,966.630052729588,14,10,1,10.010167065000001,12.250669760000001,9.8875061
2022-10-01 15:00:00,66.76,78.53633893249186,11.776338932491853,11.776338932491853,17.63981265837009,9.61163773,92.38357985275955,887.9575017452515,15,10,1,9.8875061,12.1697627,9.61163773
2022-10-01 15:15:00,68.12,78.53633893249186,10.416338932491854,10.416338932491854,15.291161084795565,9.52461916,90.71837014303911,864.0579264283623,15,10,1,9.61163773,12.31517038,9.52461916
2022-10-01 15:30:00,71.74,78.53633893249186,6.796338932491864,6.796338932491864,9.473569740095494,9.56587564,91.50597675994541,875.3347940023679,15,10,1,9.52461916,12.06728305,9.56587564
2022-10-01 15:45:00,76.01,78.53633893249186,2.5263389324918535,2.5263389324918535,3.3236928458880204,9.5515902,91.23287534873603,871.4190380988086,15,10,1,9.56587564,11.88513561,9.5515902
2022-10-01 16:00:00,79.87,80.2036435648993,0.33364356489929037,0.33364356489929037,0.4177332726399362,9.46615733,89.60813459631272,848.2447001365123,16,10,1,9.5515902,11.92713949,9.46615733
2022-10-01 16:15:00,79.87,79.99175988039437,0.12175988039436447,0.12175988039436447,0.15244757778780485,10.0351681,100.70459879525761,1010.5875773534676,16,10,1,9.46615733,11.90862821,10.0351681
2022-10-01 16:30:00,75.53,88.87655323452307,13.346553234523071,13.346553234523071,17.67053254700916,10.52193356,110.71108584105428,1164.89468957503,16,10,1,10.0351681,11.70369921,10.52193356
2022-10-01 16:45:00,81.34,93.463155991458,12.123155991457992,12.123155991457992,14.904297996026017,10.66870979,113.82136858324183,1214.3271493152306,16,10,1,10.52193356,11.652979030000001,10.66870979
2022-10-01 17:00:00,100.23,95.53013289968135,-4.699867100318656,4.699867100318656,-4.689082210764988,10.77500219,116.10067219450481,1250.9849971562614,17,10,1,10.66870979,11.740731870000001,10.77500219
2022-10-01 17:15:00,107.12,95.53013289968135,-11.589867100318656,11.589867100318656,-10.819517456344945,10.7316944,115.16926469499137,1235.9613529793567,17,10,1,10.77500219,11.85773633,10.7316944
2022-10-01 17:30:00,110.55,95.53013289968135,-15.019867100318649,15.019867100318649,-13.586492174545455,10.784728490000001,116.3103686030177,1254.3757459553665,17,10,1,10.7316944,11.72271852,10.784728490000001
2022-10-01 17:45:00,111.66,95.53013289968135,-16.12986710031865,16.12986710031865,-14.445519522545315,10.537399689999999,111.03679222681208,1170.039059989404,17,10,1,10.784728490000001,11.632154850000001,10.537399689999999
2022-10-01 18:00:00,105.4,91.91492477681096,-13.485075223189043,13.485075223189043,-12.79418901509452,10.76508298,115.8870115662857,1247.5332958152853,18,10,0,10.537399689999999,11.423457540000001,10.76508298
2022-10-01 18:15:00,102.94,79.70573004701677,-23.234269952983226,23.234269952983226,-22.570691617181033,10.87448416,118.2544057460909,1285.9556621360784,18,10,0,10.76508298,11.06002217,10.87448416
2022-10-01 18:30:00,101.91,80.68297920361694,-21.22702079638306,21.22702079638306,-20.829183391522072,10.4482783,109.16651943425089,1140.6021760914118,18,10,0,10.87448416,11.074909569999999,10.4482783
