datetime,PC1,alpha_10_70,stability
2021-05-01 19:15:00,0.03302734600309063,0.04656432715256584,unstable
2021-05-01 19:30:00,-0.7027329877080801,0.14484283988025806,neutral
2021-05-01 19:45:00,0.8716493592113516,0.2583847215724832,neutral
2021-05-01 20:00:00,0.4794945254579677,0.0340070873386894,unstable
2021-05-01 20:15:00,1.4110895122007154,0.2156458365379237,neutral
2021-05-01 20:30:00,0.8552605430076587,0.13767828145301528,neutral
2021-05-01 20:45:00,-0.1985077522565789,0.0714445891081472,unstable
2021-05-01 21:00:00,-0.3256894065788118,0.11506374983259461,neutral
2021-05-01 21:15:00,-0.04078663601646289,0.14807764220353983,neutral
2021-05-01 21:30:00,0.2491983592396631,0.1344905807575811,neutral
2021-05-01 21:45:00,0.5234842721404757,0.10488426531029606,neutral
2021-05-01 22:00:00,0.965834755432076,0.12600213579915595,neutral
