datetime,actual_power,predicted_power,fused_corrected_wind,error,abs_error,corrected_ec_10m,weight_ec_10m,corrected_ec_70m,weight_ec_70m,corrected_gfs_10m,weight_gfs_10m,corrected_gfs_70m,weight_gfs_70m
2022-09-04 15:45:00,34.3869,41.72741833961124,6.374241800890473,7.3405183396112434,7.3405183396112434,7.1776827681821365,0.25,7.823014190805945,0.25,4.74093094560163,0.25,5.755339298972177,0.25
2022-09-04 16:00:00,34.3684,40.540510459246136,6.352796698066505,6.172110459246134,6.172110459246134,7.1536757396113275,0.25,7.761240808080883,0.25,4.74093094560163,0.25,5.755339298972177,0.25
2022-09-04 16:15:00,32.6003,40.540510459246136,6.335253267894433,7.940210459246138,7.940210459246138,6.961714110418445,0.25,7.761240808080883,0.25,4.74093094560163,0.25,5.877127207476772,0.25
2022-09-04 16:30:00,30.5827,40.540510459246136,6.3182337195801574,9.957810459246137,9.957810459246137,6.893635917161344,0.25,7.761240808080883,0.25,4.74093094560163,0.25,5.877127207476772,0.25
2022-09-04 16:45:00,30.5827,40.540510459246136,6.2955562918873085,9.957810459246137,9.957810459246137,6.893635917161344,0.25,7.755279553453915,0.25,4.74093094560163,0.25,5.792378751332344,0.25
2022-09-04 17:00:00,28.3478,40.540510459246136,6.148489633259353,12.192710459246136,12.192710459246136,6.536375784164828,0.25,7.5242730519386125,0.25,4.74093094560163,0.25,5.792378751332344,0.25
2022-09-04 17:15:00,38.6351,40.540510459246136,6.148489633259353,1.9054104592461343,1.9054104592461343,6.536375784164828,0.25,7.5242730519386125,0.25,4.74093094560163,0.25,5.792378751332344,0.25
2022-09-04 17:30:00,60.8351,38.62717419418015,5.982916175491087,-22.207925805819848,22.207925805819848,6.189707904321223,0.25,7.16278074907075,0.25,4.74093094560163,0.25,5.838245102970746,0.25
2022-09-04 17:45:00,60.8351,38.62717419418015,6.000229056043981,-22.207925805819848,22.207925805819848,6.189707904321223,0.25,7.16278074907075,0.25,4.810182467813204,0.25,5.838245102970746,0.25
2022-09-04 18:00:00,61.3921,43.53134324416417,5.997591860272393,-17.86075675583583,17.86075675583583,6.085906708010137,0.25,7.087198297200565,0.25,4.810182467813204,0.25,6.007079968065665,0.25
2022-09-04 18:15:00,58.5185,43.53134324416417,5.99164446987535,-14.987156755835834,14.987156755835834,6.085906708010137,0.25,7.073188055900752,0.25,4.800403147524847,0.25,6.007079968065665,0.25
2022-09-04 18:30:00,45.0749,43.53134324416417,5.930556185044207,-1.54355675583583,1.54355675583583,5.917218496999102,0.25,6.997523127587213,0.25,4.800403147524847,0.25,6.007079968065665,0.25
2022-09-04 18:45:00,45.0749,40.926800094550856,5.792902329672031,-4.148099905449143,4.148099905449143,5.801844910585222,0.25,6.824975483720727,0.25,4.74595854719705,0.25,5.798830377185123,0.25
2022-09-04 19:00:00,43.6939,35.6262681689653,5.436362190563742,-8.067631831034703,8.067631831034703,5.518316460923363,0.25,5.867695746040811,0.25,4.691619838368559,0.25,5.667816716922233,0.25
2022-09-04 19:15:00,41.6223,31.137452778162853,5.358295439320262,-10.48484722183715,10.48484722183715,5.362011543857472,0.25,5.8258749293038665,0.25,4.609651905546462,0.25,5.635643378573248,0.25
2022-09-04 19:30:00,32.4369,28.217215612344717,5.154047206252789,-4.219684387655285,4.219684387655285,5.1068929427627685,0.25,5.713071905254462,0.25,4.45760936459953,0.25,5.338614612394399,0.25
2022-09-04 19:45:00,25.6149,25.635625944838107,5.096382451880039,0.020725944838108745,0.020725944838108745,5.070923867279942,0.25,5.674794274328879,0.25,4.361444639405202,0.25,5.278367026506137,0.25
2022-09-04 20:00:00,18.9414,25.08533348913549,5.076066968212052,6.143933489135488,6.143933489135488,5.01895702203292,0.25,5.786518875559876,0.25,4.220424948749272,0.25,5.278367026506137,0.25
2022-09-04 20:15:00,13.0962,25.08533348913549,5.074144592730592,11.98913348913549,11.98913348913549,5.0112675201070855,0.25,5.786518875559876,0.25,4.220424948749272,0.25,5.278367026506137,0.25
2022-09-04 20:30:00,13.0962,25.08533348913549,5.006762039948089,11.98913348913549,11.98913348913549,4.791354680890306,0.25,5.786518875559876,0.25,4.170807576836037,0.25,5.278367026506137,0.25
2022-09-04 20:45:00,11.0773,24.598448479124738,4.986846655652283,13.521148479124738,13.521148479124738,4.746012381442166,0.25,5.752199637824789,0.25,4.170807576836037,0.25,5.278367026506137,0.25
2022-09-04 21:00:00,8.664,25.119426000966495,5.070304963018462,16.455426000966497,16.455426000966497,4.911822349468216,0.25,5.752199637824789,0.25,4.232938253048675,0.25,5.384259611732166,0.25
2022-09-04 21:15:00,7.1821,25.53056502980696,5.018822716417479,18.34846502980696,18.34846502980696,4.673584563971147,0.25,5.784508436917927,0.25,4.232938253048675,0.25,5.384259611732166,0.25
2022-09-04 21:30:00,7.1821,25.53056502980696,5.048827034418347,18.34846502980696,18.34846502980696,4.764776288708726,0.25,5.813333984183819,0.25,4.232938253048675,0.25,5.384259611732166,0.25
2022-09-04 21:45:00,6.7026,25.53056502980696,5.0297658174165,18.82796502980696,18.82796502980696,4.764776288708726,0.25,5.7541392822297555,0.25,4.215888086995353,0.25,5.384259611732166,0.25
2022-09-04 22:00:00,5.7436,25.53056502980696,5.0297658174165,19.78696502980696,19.78696502980696,4.764776288708726,0.25,5.7541392822297555,0.25,4.215888086995353,0.25,5.384259611732166,0.25
2022-09-04 22:15:00,9.1151,25.53056502980696,5.045975413652176,16.41546502980696,16.41546502980696,4.721302805413554,0.25,5.7541392822297555,0.25,4.31205281218968,0.25,5.396406754775714,0.25
2022-09-04 22:30:00,9.356,25.53056502980696,5.058904983483101,16.174565029806963,16.174565029806963,4.790426969845188,0.25,5.710036885347999,0.25,4.338749323963504,0.25,5.396406754775714,0.25
2022-09-04 22:45:00,9.7382,25.53056502980696,5.095646361399277,15.79236502980696,15.79236502980696,4.824518452897088,0.25,5.788521902726003,0.25,4.371342010015998,0.25,5.398203079958019,0.25
2022-09-04 23:00:00,12.2224,28.751945967958047,5.193626051334873,16.529545967958047,16.529545967958047,4.824518452897088,0.25,5.906016071127825,0.25,4.532047526112421,0.25,5.511922155202161,0.25
2022-09-04 23:15:00,16.3825,31.923857285834632,5.234304494630843,15.541357285834632,15.541357285834632,4.708974462792225,0.25,5.906016071127825,0.25,4.716180832255666,0.25,5.6060466123476544,0.25
2022-09-04 23:30:00,19.362,31.551381042871505,5.2262384623357345,12.189381042871506,12.189381042871506,4.708974462792225,0.25,5.906016071127825,0.25,4.716180832255666,0.25,5.5737824831672205,0.25
2022-09-04 23:45:00,22.271,35.63327042128612,5.546022118467867,13.36227042128612,13.36227042128612,5.4640867647631435,0.25,6.4300383936854395,0.25,4.716180832255666,0.25,5.5737824831672205,0.25
2022-09-05 00:00:00,28.345,34.55294617603081,5.4376385557165445,6.207946176030809,6.207946176030809,4.741563974766606,0.25,6.574080647912969,0.25,4.384787213756482,0.25,6.0501223864301235,0.25
2022-09-05 00:15:00,29.3743,39.87109281438727,5.788895074009234,10.496792814387266,10.496792814387266,5.365746157530712,0.25,7.413433484171227,0.25,4.3262782679048755,0.25,6.0501223864301235,0.25
2022-09-05 00:30:00,29.6173,42.64070175041531,5.779678351684485,13.02340175041531,13.02340175041531,5.321466961704779,0.25,7.34523248098005,0.25,4.23921551643792,0.25,6.2127984476151905,0.25
2022-09-05 00:45:00,27.8441,42.64070175041531,5.809707035523313,14.79660175041531,14.79660175041531,5.332563405404694,0.25,7.675219552047526,0.25,4.23921551643792,0.25,5.991829668203111,0.25
2022-09-05 01:00:00,24.501,42.20012708486521,5.85531109882243,17.699127084865207,17.699127084865207,5.5210260107581055,0.25,7.631959342155157,0.25,4.436839545756601,0.25,5.831419496619857,0.25
2022-09-05 01:15:00,21.9478,44.80467023447852,6.111810844189041,22.85687023447852,22.85687023447852,5.865817801127739,0.25,7.529876337644309,0.25,4.855895150668452,0.25,6.1956540873156625,0.25
2022-09-05 01:30:00,19.6177,42.40580539924394,5.8498039191634,22.78810539924394,22.78810539924394,5.616117998690537,0.25,7.045185738329581,0.25,4.846873221238608,0.25,5.891038718394874,0.25
2022-09-05 01:45:00,19.6177,41.64744917525432,5.797709375164212,22.029749175254324,22.029749175254324,5.616117998690537,0.25,6.836807562332828,0.25,4.846873221238608,0.25,5.891038718394874,0.25
2022-09-05 02:00:00,20.5064,41.64744917525432,5.867750222235295,21.141049175254324,21.141049175254324,5.625313218670846,0.25,6.836807562332828,0.25,4.913236954799341,0.25,6.095643153138167,0.25
2022-09-05 02:15:00,21.8384,44.251992324867636,5.991861134660135,22.413592324867636,22.413592324867636,5.533662761916075,0.25,6.836807562332828,0.25,5.0658353667099645,0.25,6.531138847681672,0.25
2022-09-05 02:30:00,24.285,44.79826413451938,6.124995113340956,20.51326413451938,20.51326413451938,5.533662761916075,0.25,7.045185738329581,0.25,5.2438703541170995,0.25,6.677261599001071,0.25
2022-09-05 02:45:00,24.285,45.32808977177781,6.36734053429316,21.04308977177781,21.04308977177781,5.789757899730259,0.25,7.467287622304634,0.25,5.2438703541170995,0.25,6.968446261020648,0.25
2022-09-05 03:00:00,24.3759,45.32808977177781,6.375164329575261,20.95218977177781,20.95218977177781,5.789757899730259,0.25,7.5835984913618475,0.25,5.2438703541170995,0.25,6.883430573091841,0.25
2022-09-05 03:15:00,23.7011,49.474315547879094,6.419576305787105,25.773215547879094,25.773215547879094,5.918374007012831,0.25,7.5835984913618475,0.25,5.271727195251004,0.25,6.904605529522738,0.25
2022-09-05 03:30:00,18.7972,46.98352769860882,6.296020820805024,28.186327698608817,28.186327698608817,5.918374007012831,0.25,7.644828777593771,0.25,5.117645837509674,0.25,6.50323466110382,0.25
2022-09-05 03:45:00,18.2033,45.32808977177781,6.202793765719994,27.124789771777813,27.124789771777813,6.131200073782267,0.25,7.607196944934272,0.25,4.960027726918924,0.25,6.11275031724451,0.25
2022-09-05 04:00:00,19.7861,48.784634172593044,6.417842947013271,28.998534172593043,28.998534172593043,6.526445421840962,0.25,7.952939630992885,0.25,4.926055372236697,0.25,6.265931362982538,0.25
2022-09-05 04:15:00,22.4842,51.6209939600561,6.451585879788118,29.136793960056096,29.136793960056096,6.60118223251737,0.25,8.151358921470141,0.25,4.692249924350418,0.25,6.361552440814541,0.25
2022-09-05 04:30:00,21.2161,53.23784483191831,6.468500223897331,32.02174483191831,32.02174483191831,6.568285804032451,0.25,8.335361174335056,0.25,4.608801476407274,0.25,6.361552440814541,0.25
