u_star,z0,r_squared,rmse,n_points,wind_profile,height_profile,slope,intercept,timestamp,confidence,alpha_main,month,season
0.636655904971478,0.08814352216343264,0.9938522605208746,0.09218033082598871,4,"[7.59, 9.12, 10.15, 10.67]","[10, 30, 50, 70]",1.5916397624286949,3.8657569230957813,2022-03-28 20:00:00,0.7,0.1596613810415168,3,spring
0.636655904971478,0.08814352216343264,0.9938522605208746,0.09218033082598871,4,"[7.59, 9.12, 10.15, 10.67]","[10, 30, 50, 70]",1.5916397624286949,3.8657569230957813,2022-03-28 20:00:00,0.7,0.1282687700281255,3,spring
0.636655904971478,0.08814352216343264,0.9938522605208746,0.09218033082598871,4,"[7.59, 9.12, 10.15, 10.67]","[10, 30, 50, 70]",1.5916397624286949,3.8657569230957813,2022-03-28 20:00:00,0.85,0.1815724172826458,3,spring
0.636655904971478,0.08814352216343264,0.9938522605208746,0.09218033082598871,4,"[7.59, 9.12, 10.15, 10.67]","[10, 30, 50, 70]",1.5916397624286949,3.8657569230957813,2022-03-28 20:00:00,0.85,0.1750360745440778,3,spring
0.4546069118936328,0.01906081252166396,0.9917854033035074,0.0761652689029786,4,"[7.16, 8.24, 9.02, 9.34]","[10, 30, 50, 70]",1.136517279734082,4.500745664466335,2022-03-28 21:00:00,0.85,0.136592263212787,3,spring
0.4546069118936328,0.01906081252166396,0.9917854033035074,0.0761652689029786,4,"[7.16, 8.24, 9.02, 9.34]","[10, 30, 50, 70]",1.136517279734082,4.500745664466335,2022-03-28 21:00:00,0.7,0.1729125246530838,3,spring
0.49950948948224894,0.0619111884027522,0.9614803889569895,0.18405649723517753,4,"[6.45, 7.57, 8.16, 9.03]","[10, 30, 50, 70]",1.2487737237056222,3.474156390161636,2022-03-28 21:00:00,0.85,0.136592263212787,3,spring
0.49950948948224894,0.0619111884027522,0.9614803889569895,0.18405649723517753,4,"[6.45, 7.57, 8.16, 9.03]","[10, 30, 50, 70]",1.2487737237056222,3.474156390161636,2022-03-28 21:00:00,0.7,0.1729125246530838,3,spring
0.4733570013745664,0.1374690459742465,0.9306522248278445,0.2378745828198562,4,"[5.18, 6.25, 6.67, 7.7]","[10, 30, 50, 70]",1.1833925034364159,2.348272615009721,2022-03-28 22:00:00,0.7,0.2037171514731527,3,spring
0.4733570013745664,0.1374690459742465,0.9306522248278445,0.2378745828198562,4,"[5.18, 6.25, 6.67, 7.7]","[10, 30, 50, 70]",1.1833925034364159,2.348272615009721,2022-03-28 22:00:00,0.7,0.1586884460494896,3,spring
0.4733570013745664,0.1374690459742465,0.9306522248278445,0.2378745828198562,4,"[5.18, 6.25, 6.67, 7.7]","[10, 30, 50, 70]",1.1833925034364159,2.348272615009721,2022-03-28 22:00:00,0.7,0.1485115421449922,3,spring
0.3435612494056386,0.03803458103682677,0.9176349096794968,0.18948615252298906,4,"[4.92, 5.42, 6.17, 6.63]","[10, 30, 50, 70]",0.8589031235140964,2.807977201105154,2022-03-28 23:00:00,0.7,0.1532939605861911,3,spring
0.3843210749563392,0.14968377472277042,0.9717378738276747,0.12065872427851639,4,"[4.07, 5.09, 5.4, 6.06]","[10, 30, 50, 70]",0.960802687390848,1.8247856518447656,2022-03-29 00:00:00,0.7,0.204565868994501,3,spring
0.1710363432627359,0.00026881173438853743,0.9746510331098857,0.05077859023105939,4,"[4.53, 4.92, 5.14, 5.4]","[10, 30, 50, 70]",0.4275908581568397,3.5154379391195896,2022-03-29 00:00:00,0.7,0.204565868994501,3,spring
0.21196200242320862,0.2165132954313385,0.9882682084179621,0.042514732320750336,4,"[2.06, 2.54, 2.9, 3.09]","[10, 30, 50, 70]",0.5299050060580215,0.8108094104618766,2022-03-29 02:00:00,0.85,0.2083678469455574,3,spring
