,ec_wind_speed_error_10m,gfs_wind_speed_error_10m,ec_wind_speed_error_30m,gfs_wind_speed_error_30m,ec_wind_speed_error_50m,gfs_wind_speed_error_50m,ec_wind_speed_error_70m,gfs_wind_speed_error_70m,ec_temperature_error_10m,gfs_temperature_error_10m,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m,ec_wind_speed_10m,ec_wind_speed_30m,ec_wind_speed_50m,ec_wind_speed_70m,ec_wind_direction_10m,ec_wind_direction_30m,ec_wind_direction_50m,ec_wind_direction_70m,ec_temperature_10m,gfs_wind_speed_10m,gfs_wind_speed_30m,gfs_wind_speed_50m,gfs_wind_speed_70m,gfs_wind_direction_10m,gfs_wind_direction_30m,gfs_wind_direction_50m,gfs_wind_direction_70m,gfs_temperature_10m,power
obs_wind_speed_10m,-0.45602879249026634,-0.39381553659385915,-0.1942486080089572,-0.16778874772419355,-0.23314253102571877,-0.2111073002066443,-0.18901383501931993,-0.17528740973069015,-0.1271260243219632,-0.14283760059154732,1.0,0.858954604524127,0.8617343249749211,0.8537605557578724,0.022907030444082266,0.040334134442857585,-0.028040830786385976,0.23941170932831682,0.28036955196532726,0.16515858616913404,-0.0443756914244741,0.1931801506617455,-0.023238123588759325,0.5706734722172112,0.5480878402967919,0.5490970919705159,0.5428760914890388,-0.020884128632281434,-0.022132346195135672,-0.02460915604371182,-0.02714526791998505,0.003009536159651112,0.5653637435508014,0.5446366805966628,0.5406741364465906,0.5307433990528668,0.023190414162562883,0.022031064492334485,0.01651618997086203,0.009539196713517441,-0.002278268788172859,0.8283619394727687
obs_wind_speed_30m,-0.29467229275232704,-0.26745268115702386,-0.2772464013244168,-0.28465877799504374,-0.3099466301646607,-0.31896324169230583,-0.26598932172801637,-0.2808389630795183,-0.07402583161119367,-0.09125465661406246,0.858954604524127,1.0,0.9800673485151681,0.9647686904497813,0.023211825058927705,0.050161061680857946,-0.06146090360756496,0.1705382180006269,0.15691316081206108,0.055162107178125995,-0.12004401363010206,0.1035686645460201,-0.10587086973964936,0.6051041172818428,0.5881577923206993,0.5782116650782263,0.5633801230359804,0.012506968286439733,0.011706450853621202,0.009998047500969182,0.00886206294489449,0.013297359514746431,0.5676778436180687,0.556658789632784,0.5424628215582984,0.5252941776709056,0.06946381726721235,0.06835120467894197,0.06299626316791222,0.05730369408848213,0.008946258857604798,0.78106396634303
obs_wind_speed_50m,-0.3088485604769989,-0.28751412637151247,-0.26029192098197185,-0.27491110457107903,-0.3324944816780369,-0.3428581775778751,-0.28467265709639483,-0.2983479392761183,-0.07557326564777302,-0.0919255938309379,0.8617343249749211,0.9800673485151681,1.0,0.9811258726290455,0.025196386757013498,0.05803639523272412,-0.08168223918140284,0.19146959685473633,0.15587323491164998,0.06546242837811807,-0.16389108165939092,0.12613317179620884,-0.1479214444094063,0.5985031156199213,0.5873164766171209,0.5777920246581167,0.5638605534923237,0.028897453073109793,0.02815782557837172,0.026590918409844747,0.025364375048902058,0.013321449534910275,0.5566027049975794,0.5511714295252129,0.5399080562262277,0.5254321384327961,0.08358835157181167,0.08246821969660922,0.07680315676041607,0.07087735804100398,0.009575319650521049,0.7889035088346157
obs_wind_speed_70m,-0.3119375906176961,-0.30078671167121124,-0.2406091686032168,-0.26741624086410964,-0.30391866435347237,-0.3248207416682462,-0.289961594205515,-0.31057345166523737,-0.07959897104302589,-0.07161394668089653,0.8537605557578724,0.9647686904497813,0.9811258726290455,1.0,-0.01144712091625627,0.05143595566164101,-0.0897654606846135,0.1509048345354961,0.10524259439305537,0.010617922990572754,-0.16971706524730992,0.07490427700038325,-0.17261020354040296,0.5892784049320481,0.5907131449770844,0.585626431216894,0.5754551433983509,0.0574903658754488,0.056799914591682654,0.05534025272309148,0.05390812523042926,-0.024962212969656394,0.5394435175151931,0.5455197350497468,0.5400811501972747,0.5307037637176331,0.11975209959566697,0.1187875880826309,0.1131449094550167,0.10696436807545899,-0.025830404157830687,0.7885444412020086
obs_temperature_10m,-0.021148528070078547,0.06036903329207315,-0.08612039126805508,0.0032147350722714946,-0.08466873467876794,-0.011879366861650139,-0.03173052576425988,0.021871078520230656,-0.1987843465143444,-0.37329413636215397,0.022907030444082266,0.023211825058927705,0.025196386757013498,-0.01144712091625627,1.0,0.25413167850793855,0.06552663560947732,0.07906460988387093,0.1724668301691855,0.2500991867922935,0.11638923552777795,0.20369421545371263,0.18062592807102248,0.0042483791187331735,-0.04547851899059955,-0.04647926877728458,-0.046261178254313334,-0.10440413988467767,-0.1051458820182824,-0.1082657563749712,-0.11022574604060117,0.9780448156387903,0.0720024891672846,0.019278567254121307,0.005786789076041938,-0.007103430258337812,-0.23933449106146132,-0.24141603205413004,-0.24465739257778638,-0.24469270100588916,0.9747729613337544,0.019871159441387332
obs_wind_dir_sin_10m,0.00626382744937541,0.02181684737427604,0.004505857194344491,0.01922077467031944,-0.001542881993483201,0.010664214625869315,0.012910389829484187,0.01806158232375451,-0.07821265458001112,-0.13057959231457777,0.040334134442857585,0.050161061680857946,0.05803639523272412,0.05143595566164101,0.25413167850793855,1.0,0.0704734393276091,0.07951415737793811,0.07807260184397968,0.11198243765877398,-0.004533771518203614,0.1112327904604139,0.023118330621301333,0.04796787120494221,0.04599984609468105,0.04937010094330486,0.05302008046973045,-0.019028332709500696,-0.018812106504158033,-0.02051645088931067,-0.020826084723063038,0.24819229561631637,0.05787507116653141,0.0573167674179628,0.05670754700650227,0.0560911618882556,-0.025566383432791794,-0.02707415014709483,-0.03070414760810285,-0.03324300132036835,0.2456507205842439,0.03628164797507286
obs_wind_dir_cos_10m,0.05005369926011308,0.12509258879413804,0.0593104172015984,0.13226425914257445,0.09709947053585363,0.14965251937391147,0.12278420511436486,0.15951414833637279,-0.1571895032226906,-0.12407317672119549,-0.028040830786385976,-0.06146090360756496,-0.08168223918140284,-0.0897654606846135,0.06552663560947732,0.0704734393276091,1.0,0.01800414105972495,0.2461699700588314,0.1373612078542071,0.4030175876239274,0.01494992213062666,0.4153793564695314,-0.0023153332038044747,-0.006285656223151172,0.006688902233583452,0.016264504745327965,-0.2848572678954901,-0.28403410188141126,-0.27841047587614676,-0.27436234847230573,0.045237388278463436,0.058890541782983676,0.04905189962657396,0.04940566143181494,0.04867476209609968,-0.2601593428551275,-0.25946365537524063,-0.2573940736766641,-0.2533788980229075,0.047229982434370286,-0.057212618126618764
obs_wind_dir_sin_30m,-0.13799280898395183,-0.06489192515806347,-0.11393899262061215,-0.04856163278591522,-0.12672375232322178,-0.07277402822498959,-0.0711758513248165,-0.030702534555205017,-0.16662851337507767,-0.22306793929351443,0.23941170932831682,0.1705382180006269,0.19146959685473633,0.1509048345354961,0.07906460988387093,0.07951415737793811,0.01800414105972495,1.0,0.5082283977718882,0.6133768951740691,-0.10325313125570548,0.6611308457332489,-0.014206806071157794,0.12599424231627337,0.06552055871461003,0.07353080146538109,0.07677570392728239,-0.01874680168851784,-0.01944478980773356,-0.023793209667287856,-0.026890386776720867,0.0518447806933482,0.1751878925276927,0.10810824527626087,0.10786328421665618,0.10250034989551073,-0.0647631177453709,-0.06587089204817344,-0.06847856093193208,-0.07266572787211878,0.03978350836789821,0.18816550746316688
obs_wind_dir_cos_30m,-0.07278662246248632,0.08555736868556067,0.003383150856169243,0.14808645903630005,0.024412977753719308,0.13933988019612623,0.11505546801094621,0.20049283802825,-0.2504553829901619,-0.2895327681644026,0.28036955196532726,0.15691316081206108,0.15587323491164998,0.10524259439305537,0.1724668301691855,0.07807260184397968,0.2461699700588314,0.5082283977718882,1.0,0.5803086224732905,0.4284673703183026,0.46613640742386425,0.5092547017905373,0.20880024193620306,0.14782348064397177,0.17068962023957815,0.18312100801573938,-0.359140090036745,-0.359040487546401,-0.35928909015187105,-0.35978648471309194,0.13617735924962926,0.31732601841172753,0.25031385682330104,0.2544486544080346,0.2506628338445007,-0.3575663408841895,-0.35792871779558977,-0.3583944429867518,-0.3603289900002114,0.12584103170113187,0.2045253652975105
obs_wind_dir_sin_50m,-0.087602351832429,0.03863851643297552,-0.07653923947405318,0.05097453053833769,-0.06452777738106787,0.03644449076847265,0.016273983126736363,0.09213863722017941,-0.24220883032090795,-0.3374239046843292,0.16515858616913404,0.055162107178125995,0.06546242837811807,0.010617922990572754,0.2500991867922935,0.11198243765877398,0.1373612078542071,0.6133768951740691,0.5803086224732905,1.0,0.16940528809859431,0.9534443814509728,0.3090235368543579,0.08147156028634382,-0.002881062616048769,0.01332722024823957,0.022761716044434527,-0.1751501761107992,-0.1757044857422879,-0.17871086172993683,-0.1813401845702726,0.21085181479522005,0.1785001604984009,0.0886487307050922,0.08737996654204212,0.08050248143319177,-0.2280177553335453,-0.22819418199808378,-0.22712615891680107,-0.22679738119297557,0.19326092423474867,0.10479872773375905
obs_wind_dir_cos_50m,0.12610366097680042,0.2822863942065079,0.19956994919555932,0.34743556967033834,0.27559976704567113,0.39161016711438335,0.31657070067863313,0.4069626859783564,-0.12098080518650778,-0.08590249745005962,-0.0443756914244741,-0.12004401363010206,-0.16389108165939092,-0.16971706524730992,0.11638923552777795,-0.004533771518203614,0.4030175876239274,-0.10325313125570548,0.4284673703183026,0.16940528809859431,1.0,-0.1289714968080387,0.9644226354386203,0.041921180447372086,0.05995937627480802,0.0869464719890854,0.10624411882663702,-0.6350956650010121,-0.6341061889191388,-0.6296089007909248,-0.6235541856295918,0.10526344071687053,0.16616089649128665,0.17813150099659505,0.1882495302574509,0.19391404655819572,-0.5933925574402835,-0.5928436268906357,-0.5890297234807443,-0.5835273169159565,0.10810407461162133,-0.055291356298567296
obs_wind_dir_sin_70m,-0.1299676355461806,-0.04942987473658801,-0.13614351265325444,-0.05293826233124221,-0.14581014386771277,-0.07979170295031394,-0.07951130717422765,-0.03073302935327203,-0.20979824341251563,-0.3120957899960453,0.1931801506617455,0.1035686645460201,0.12613317179620884,0.07490427700038325,0.20369421545371263,0.1112327904604139,0.01494992213062666,0.6611308457332489,0.46613640742386425,0.9534443814509728,-0.1289714968080387,1.0,0.01829775031401556,0.07971258906737021,-0.010346183577948647,-0.0019378455228900237,0.0017497679093370646,0.016904612720022874,0.01606485005204765,0.011716010346519467,0.007104270829113213,0.1668520973593806,0.1396194214455889,0.04564223626285691,0.041610469666135366,0.0330893512524241,-0.046741462138689356,-0.047076468398156386,-0.047211857894079536,-0.04862870386343193,0.14853050856708858,0.13504571337566215
obs_wind_dir_cos_70m,0.1208283655658374,0.28423520379024736,0.17658687849238208,0.33379393444237315,0.25138635007293525,0.37224463520448986,0.312999041313868,0.40365379248901007,-0.16273155503945663,-0.15344291415344966,-0.023238123588759325,-0.10587086973964936,-0.1479214444094063,-0.17261020354040296,0.18062592807102248,0.023118330621301333,0.4153793564695314,-0.014206806071157794,0.5092547017905373,0.3090235368543579,0.9644226354386203,0.01829775031401556,1.0,0.05878799475266602,0.056735624431554624,0.08224577631879441,0.09987292815428984,-0.6275590506614682,-0.6267382472296671,-0.6226145420578275,-0.6166385725272852,0.1641960468661746,0.18570663447287544,0.1778372616250065,0.18362797747777243,0.18501964146041627,-0.594974250664668,-0.59465644687781,-0.5908179962414671,-0.5854760082343206,0.16336583063828633,-0.050100075200890805
ec_wind_speed_10m,0.39848924867533486,0.1290302690431494,0.4931137697959693,0.17359909741792323,0.4409374856329932,0.12721751839137083,0.46072157625671684,0.14487728884246803,-0.1335350271405177,-0.11241420745065164,0.5706734722172112,0.6051041172818428,0.5985031156199213,0.5892784049320481,0.0042483791187331735,0.04796787120494221,-0.0023153332038044747,0.12599424231627337,0.20880024193620306,0.08147156028634382,0.041921180447372086,0.07971258906737021,0.05878799475266602,1.0,0.9611100360407231,0.943300576337679,0.9159250779419912,-0.10430355565161332,-0.10429527672007058,-0.09993947206493073,-0.09335263692945482,-0.013092834062334172,0.6658218305605883,0.6536026893827146,0.6372175043945292,0.6171183883106811,0.0072014443165519726,0.006300983296795767,0.0020431356563047785,-0.00432432954441925,-0.015754140765445266,0.5875095590692524
ec_wind_speed_30m,0.38587274829178336,0.11607126181392027,0.5572886001418597,0.21303520521187266,0.50431252138737,0.17051027282233813,0.520041367578827,0.18709159229491187,-0.12302532243123598,-0.04699358280272551,0.5480878402967919,0.5881577923206993,0.5873164766171209,0.5907131449770844,-0.04547851899059955,0.04599984609468105,-0.006285656223151172,0.06552055871461003,0.14782348064397177,-0.002881062616048769,0.05995937627480802,-0.010346183577948647,0.056735624431554624,0.9611100360407231,1.0,0.9910180397018086,0.9714893910474697,-0.11039189258527975,-0.11022031597385952,-0.10549391637243058,-0.0988186189731325,-0.06272623132626773,0.6305218254969418,0.6722707153842695,0.6675493280971193,0.6584003875683537,0.013372848069358149,0.012432868532887761,0.007858532228022484,0.001712931209541084,-0.0556106086456554,0.5882295263430267
ec_wind_speed_50m,0.3666736194057275,0.11865292756954819,0.5590738163254703,0.23129189204090347,0.5247990398598583,0.19619553210443577,0.5508062089711472,0.2143468492084029,-0.15402241241063652,-0.06359029118792839,0.5490970919705159,0.5782116650782263,0.5777920246581167,0.585626431216894,-0.04647926877728458,0.04937010094330486,0.006688902233583452,0.07353080146538109,0.17068962023957815,0.01332722024823957,0.0869464719890854,-0.0019378455228900237,0.08224577631879441,0.943300576337679,0.9910180397018086,1.0,0.9942097657460229,-0.12665207390928396,-0.12673783004996472,-0.12341098159412241,-0.11827910691501466,-0.06904352324523419,0.6342119285516379,0.6799580669997496,0.6831268203076549,0.6797145620011993,-0.003871986527457717,-0.004893893758561275,-0.01009054377575926,-0.017336803224963938,-0.06005243393589913,0.5919839163140044
ec_wind_speed_70m,0.34599203929442696,0.11821135069648513,0.5540449215858271,0.2437959193838241,0.534087388037302,0.21450649521878098,0.5681469088997162,0.23369823923907646,-0.17576639714756484,-0.07352207659722927,0.5428760914890388,0.5633801230359804,0.5638605534923237,0.5754551433983509,-0.046261178254313334,0.05302008046973045,0.016264504745327965,0.07677570392728239,0.18312100801573938,0.022761716044434527,0.10624411882663702,0.0017497679093370646,0.09987292815428984,0.9159250779419912,0.9714893910474697,0.9942097657460229,1.0,-0.1366946200135577,-0.13699436172843288,-0.13536170510588688,-0.1320684124982047,-0.0726695706262553,0.6278854666033502,0.6782815425475637,0.6878019161404363,0.6892828346548906,-0.015220511488847663,-0.01631626205014207,-0.02203878609579698,-0.030052183953329363,-0.06192125574400166,0.588537034520092
ec_wind_direction_10m,-0.11706345092667067,-0.2811057131213857,-0.15761659493735572,-0.3127502598075183,-0.1858200822096093,-0.3165149231568452,-0.2447978243412736,-0.35253931940902966,0.07980614800157147,0.06609178362681582,-0.020884128632281434,0.012506968286439733,0.028897453073109793,0.0574903658754488,-0.10440413988467767,-0.019028332709500696,-0.2848572678954901,-0.01874680168851784,-0.359140090036745,-0.1751501761107992,-0.6350956650010121,0.016904612720022874,-0.6275590506614682,-0.10430355565161332,-0.11039189258527975,-0.12665207390928396,-0.1366946200135577,1.0,0.9966426697476506,0.981882826964067,0.9621330910699593,-0.09986304375287326,-0.23801850072357858,-0.24330892658909473,-0.24344557153960594,-0.2404428887634393,0.6160636480831814,0.6159735905393858,0.6125065865308249,0.6085337951923206,-0.10168888817724037,-0.007784995931948112
