,ec_wind_speed_error_10m,gfs_wind_speed_error_10m,ec_wind_speed_error_30m,gfs_wind_speed_error_30m,ec_wind_speed_error_50m,gfs_wind_speed_error_50m,ec_wind_speed_error_70m,gfs_wind_speed_error_70m,ec_temperature_error_10m,gfs_temperature_error_10m,obs_wind_speed_10m,obs_wind_speed_30m,obs_wind_speed_50m,obs_wind_speed_70m,obs_temperature_10m,obs_wind_dir_sin_10m,obs_wind_dir_cos_10m,obs_wind_dir_sin_30m,obs_wind_dir_cos_30m,obs_wind_dir_sin_50m,obs_wind_dir_cos_50m,obs_wind_dir_sin_70m,obs_wind_dir_cos_70m,ec_wind_speed_10m,ec_wind_speed_30m,ec_wind_speed_50m,ec_wind_speed_70m,ec_wind_direction_10m,ec_wind_direction_30m,ec_wind_direction_50m,ec_wind_direction_70m,ec_temperature_10m,gfs_wind_speed_10m,gfs_wind_speed_30m,gfs_wind_speed_50m,gfs_wind_speed_70m,gfs_wind_direction_10m,gfs_wind_direction_30m,gfs_wind_direction_50m,gfs_wind_direction_70m,gfs_temperature_10m,power
obs_wind_dir_sin_70m,7.939013420280028e-196,1.135466515726918e-29,7.465562317039277e-215,8.612975516474604e-34,1.788146094795272e-246,1.2075300126824376e-74,3.927239717323848e-74,2.050132320948104e-12,0.0,0.0,0.0,1.0353671600437453e-124,1.7965348943148802e-184,5.621687630153468e-66,0.0,1.1587687698702848e-143,0.0006271521928614575,0.0,0.0,0.0,7.642952057790355e-193,0.0,2.845662756102274e-05,1.6849865294668741e-74,0.01795814353616169,0.6575983090170477,0.6889992144399631,0.00011029055622029996,0.0002381775853336563,0.007366166883196657,0.10417638128727681,0.0,5.783038672199836e-226,1.546164223964193e-25,1.708264904775833e-21,3.721068600457356e-14,1.054412283243513e-26,4.593367140655941e-27,3.2776530869995055e-27,9.052705532375681e-29,8.84786189022437e-256,2.098633605289035e-211
obs_wind_dir_cos_70m,2.4334138401780086e-169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7784661927914456e-307,4.8730423779193095e-273,1.0617468896947814e-07,2.933103281438509e-130,1.1113487858659385e-253,0.0,0.0,1.23380615317169e-07,0.0,0.0011556895432071035,0.0,0.0,0.0,2.845662756102274e-05,0.0,2.768809169591643e-41,1.4454784982331756e-38,3.323644202977762e-79,4.5855944319810324e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.067288267186606e-309,1.9487592022722172e-30
ec_wind_speed_10m,0.0,5.103783344109248e-193,0.0,0.0,0.0,1.1994872412627828e-187,0.0,2.52443134246228e-243,1.0488364596266091e-206,1.0467774722943178e-146,0.0,0.0,0.0,0.0,0.33119529419168525,4.891955861476208e-28,0.596408621688798,4.5630825822774304e-184,0.0,9.447777968213813e-78,8.590833337568147e-22,1.6849865294668741e-74,2.768809169591643e-41,0.0,0.0,0.0,0.0,1.8100093122609117e-126,1.8947393210437208e-126,3.2250608641994005e-116,1.3740243360626362e-101,0.002746528344341172,0.0,0.0,0.0,0.0,0.0995247812480088,0.14952872725942973,0.6402753156126502,0.32262352021732366,0.0003138786872640656,0.0
ec_wind_speed_30m,0.0,2.444286703081448e-156,0.0,0.0,0.0,0.0,0.0,0.0,1.5869734021050898e-175,5.6448855661506156e-27,0.0,0.0,0.0,0.0,2.294093121329134e-25,6.499034882622539e-26,0.15052137202460797,7.100269492060195e-51,2.4133599759633628e-253,0.5099160132794123,7.04786576846103e-43,0.01795814353616169,1.4454784982331756e-38,0.0,0.0,0.0,0.0,1.6244458605817587e-141,4.432766203843567e-141,2.4221618968528377e-129,1.1733836398820663e-113,9.075652206812084e-47,0.0,0.0,0.0,0.0,0.0022220828463113025,0.004457891526779889,0.07226265646038023,0.695214762084946,4.064107545511283e-37,0.0
ec_wind_speed_50m,0.0,2.5032754481466397e-163,0.0,0.0,0.0,0.0,0.0,0.0,4.102849349053999e-275,5.094856797029619e-48,0.0,0.0,0.0,0.0,2.0122303759663307e-26,1.3272249511353498e-29,0.12603476751163162,1.2208861532930685e-63,0.0,0.002300745017113126,2.4976551002474876e-88,0.6575983090170477,3.323644202977762e-79,0.0,0.0,0.0,0.0,5.474669059701517e-186,3.070340210321953e-186,1.2673719704469377e-176,2.6324393913213676e-162,2.623076560149038e-56,0.0,0.0,0.0,0.0,0.37582333187867134,0.26298835419895294,0.0209988819500168,7.320092476004236e-05,5.2488393301665255e-43,0.0
ec_wind_speed_70m,0.0,4.0291917525196883e-162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2629341748453325e-63,0.0,0.0,0.0,0.0,3.4351602993064295e-26,6.8506256443263e-34,0.00019896841368782886,3.132700864978457e-69,0.0,1.921075000485886e-07,3.5989598916860944e-131,0.6889992144399631,4.58559443198051e-116,0.0,0.0,0.0,0.0,1.3514080204492667e-216,1.5139744369691325e-217,2.1486812439575196e-212,3.389331177877479e-202,3.386969494754312e-62,0.0,0.0,0.0,0.0,0.000498628076174824,0.00018984248279984236,4.6212997973375595e-07,6.19040814083052e-12,1.2815213857624524e-45,0.0
ec_wind_direction_10m,5.254488852540022e-159,0.0,3.648808081638762e-288,0.0,0.0,0.0,0.0,0.0,1.1362201217483795e-74,9.767219741521265e-52,1.7773995222777411e-06,0.0042263872461324485,3.819623360611043e-11,1.48514770882523e-39,1.037910192384192e-126,1.3451810246410475e-05,0.0,1.801160222779086e-05,0.0,0.0,0.0,0.00011029055622029996,0.0,1.8100093122609117e-126,1.6244458605817587e-141,5.474669059701517e-186,1.3514080204492667e-216,0.0,0.0,0.0,0.0,4.8316139860288055e-116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8367932687339552e-120,0.0749713580343034
ec_wind_direction_30m,3.844777617065463e-155,0.0,2.0211526286855385e-284,0.0,0.0,0.0,0.0,0.0,6.397756943874511e-76,3.5581675100000254e-54,4.131200200473189e-07,0.0074144254104685555,1.181914764013473e-10,1.1921690522185886e-38,1.6895821315584466e-128,1.683836551120064e-05,0.0,8.671249129995224e-06,0.0,0.0,0.0,0.00023817758533365628,0.0,1.894739321043937e-126,4.432766203843567e-141,3.070340210321953e-186,1.5139744369691325e-217,0.0,0.0,0.0,0.0,2.2205993049137846e-117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4312915049874926e-121,0.041572942952692496
ec_wind_direction_50m,8.38923851867984e-134,0.0,8.864549941629196e-258,0.0,0.0,0.0,0.0,0.0,3.2102168884153656e-82,1.3613496053851096e-61,1.8068244414991466e-08,0.022204761394963028,1.1791978689101323e-09,8.97153903326018e-37,3.666611086174571e-136,2.691075901007354e-06,0.0,5.2437805537859605e-08,0.0,0.0,0.0,0.007366166883196656,0.0,3.2250608641994005e-116,2.4221618968528377e-129,1.2673719704469377e-176,2.1486812439575196e-212,0.0,0.0,0.0,0.0,1.3269431022474468e-122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4469607230304304e-126,0.008766457796032313
ec_wind_direction_70m,2.0659739831526095e-108,0.0,3.4368415601813225e-226,0.0,0.0,0.0,0.0,0.0,1.2628657316379725e-82,5.1627698314603706e-64,5.301546312752164e-10,0.04266210318796158,6.538587337875066e-09,5.582130028275366e-35,4.294255192146493e-141,1.8985427510051136e-06,0.0,7.671519173779639e-10,0.0,0.0,0.0,0.10417638128727681,0.0,1.3740243360626362e-101,1.1733836398820663e-113,2.6324393913213676e-162,3.389331177877479e-202,0.0,0.0,0.0,0.0,2.650044722590813e-126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9714252532628798e-130,0.0019587052280337336
ec_temperature_10m,0.000153355116956155,4.681846855302159e-50,1.8546202344700964e-107,0.5876383484597303,1.3899435212827386e-111,3.5578651941206366e-05,8.14873798157141e-30,0.001896561235474468,5.7817656028670846e-06,0.0,0.4912301352312366,0.0023535969693526154,0.0023108733528857932,1.1275219758908826e-08,0.0,0.0,4.0915272006108815e-25,1.775396088763177e-32,5.838075418580623e-215,0.0,8.77313266835013e-129,0.0,0.0,0.002746528344341172,9.075652206812084e-47,2.623076560148926e-56,3.386969494754312e-62,4.8316139860288055e-116,2.220599304914038e-117,1.3269431022474468e-122,2.650044722590813e-126,0.0,1.0942375758099747e-39,0.1376198199307434,0.021599945314190152,1.0576913573939756e-08,0.0,0.0,0.0,0.0,0.0,0.2146572295411145
gfs_wind_speed_10m,1.5018931202188143e-78,0.0,0.0,0.0,1.5446333317114274e-258,0.0,0.0,0.0,3.744273252761008e-210,0.0,0.0,0.0,0.0,0.0,4.3240581960191094e-61,4.603029557776043e-40,2.0136293954090248e-41,0.0,0.0,0.0,0.0,5.783038672199836e-226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0942375758099747e-39,0.0,0.0,0.0,0.0,7.368748920811872e-228,1.7391332775180072e-232,1.1085988728439163e-251,6.222345500601811e-283,7.711002859762515e-21,0.0
gfs_wind_speed_30m,3.258671982439035e-98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8697113912385196e-146,3.185509312175316e-189,0.0,0.0,0.0,0.0,1.0343091540819572e-05,2.5131972539708514e-39,3.036324188844117e-29,9.049944885160216e-136,0.0,9.271606850633813e-92,0.0,1.546164223964193e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1376198199307434,0.0,0.0,0.0,0.0,6.237551147286992e-182,8.13965084295116e-186,3.8437967228461034e-203,3.1348359330544883e-230,0.7254883807059394,0.0
gfs_wind_speed_50m,5.830859642946575e-73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4911687959129185e-182,7.377504857708914e-199,0.0,0.0,0.0,0.0,0.1856404117745054,1.572261900541709e-38,1.2095856381340188e-29,3.6789027021333104e-135,0.0,3.391068215252175e-89,0.0,1.708264904775833e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021599945314190152,0.0,0.0,0.0,0.0,2.2281702062546343e-188,6.061332177352395e-193,4.1923049377784527e-215,8.921641671441092e-250,8.854626198085914e-05,0.0
gfs_wind_speed_70m,1.3317269560964514e-55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6589351583508323e-205,1.9746736590740022e-190,0.0,0.0,0.0,0.0,0.1042173593110613,9.853084005247223e-38,8.041578721838776e-29,3.5260955141050364e-122,0.0,5.962222324506112e-76,0.0,3.721068600457356e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0576913573939756e-08,0.0,0.0,0.0,0.0,2.4048051808910384e-182,3.2822660029202323e-187,5.710205975952241e-213,6.204777338744611e-252,1.8077662584198546e-12,0.0
