datetime,power,gfs_wind_speed_10m,gfs_wind_speed_70m
2021-05-02 14:30:00,21.4402,4.5719705,4.899875
2021-05-02 14:45:00,20.6172,4.1379795,4.4087157
2021-05-02 15:00:00,19.7029,4.207736,4.4937086
2021-05-02 15:15:00,18.731,4.213797,4.473906
2021-05-02 15:30:00,17.7487,3.702632,3.8976884
2021-05-02 15:45:00,16.7952,3.098933,3.2278266
2021-05-02 16:00:00,15.8719,2.716152,2.8043196
2021-05-02 16:15:00,14.9797,2.6644547,2.7461932
2021-05-02 16:30:00,14.2126,2.6575327,2.7330632
2021-05-02 16:45:00,13.5687,2.593899,2.6685731
2021-05-02 17:00:00,13.0585,2.4693012,2.5423205
2021-05-02 17:15:00,12.6809,2.2610705,2.3121283
2021-05-02 17:30:00,12.4488,2.1353846,2.1574981
2021-05-02 17:45:00,12.3782,2.1314704,2.1201124
2021-05-02 18:00:00,12.4783,2.1322217,2.0795298
2021-05-02 18:15:00,12.7592,1.9536191,1.8884053
2021-05-02 18:30:00,13.1827,1.7431321,1.731423
2021-05-02 18:45:00,13.7757,1.964895,2.0171154
2021-05-02 19:00:00,14.5531,2.9487236,3.0885317
2021-05-02 19:15:00,15.5513,3.6763775,3.9096413
2021-05-02 19:30:00,16.8192,3.943225,4.3201756
2021-05-02 19:45:00,18.4034,6.3961177,7.276467
2021-05-02 20:00:00,20.3725,5.9643183,6.9463387
2021-05-02 20:15:00,22.7793,5.9135704,7.168202
2021-05-02 20:30:00,25.4846,5.2189097,6.860217
2021-05-02 20:45:00,28.4333,4.929711,6.8371086
2021-05-02 21:00:00,31.5656,4.6309223,6.812035
2021-05-02 21:15:00,34.8448,4.621017,7.033911
2021-05-02 21:30:00,38.1062,4.5804787,7.166314
2021-05-02 21:45:00,41.2561,4.480677,7.2177644
2021-05-02 22:00:00,44.1768,4.3096337,7.1592255
2021-05-02 22:15:00,46.7263,4.2991233,7.233539
2021-05-02 22:30:00,49.4186,4.292495,7.176047
2021-05-02 22:45:00,52.2355,4.073029,6.9689875
2021-05-02 23:00:00,55.0225,4.2670937,7.092819
2021-05-02 23:15:00,57.6733,4.417474,7.3731146
2021-05-02 23:30:00,59.8398,5.1077514,7.748117
2021-05-02 23:45:00,61.4129,5.939782,8.387377
2021-05-03 00:00:00,44.7324,4.4749246,6.9335923
2021-05-03 00:15:00,44.4636,5.627793,8.212544
2021-05-03 00:30:00,44.5403,6.4768333,9.882724
2021-05-03 00:45:00,44.9445,7.0286584,10.727266
2021-05-03 01:00:00,45.6435,7.2203813,10.908511
2021-05-03 01:15:00,46.6073,7.455176,11.158713
2021-05-03 01:30:00,47.8069,8.584837,12.051492
2021-05-03 01:45:00,49.2949,8.367561,11.848192
2021-05-03 02:00:00,51.0667,7.9503446,11.4651375
2021-05-03 02:15:00,53.118,7.063931,10.6878195
2021-05-03 02:30:00,55.3107,7.6400714,11.218416
2021-05-03 02:45:00,57.6278,7.670368,11.047062
2021-05-03 03:00:00,60.003,6.5788155,10.403122
2021-05-03 03:15:00,62.268,6.4107127,10.301935
2021-05-03 03:30:00,64.4595,6.5916433,10.374843
2021-05-03 03:45:00,66.3714,7.2044396,10.962809
2021-05-03 04:00:00,67.8876,7.2407823,10.902798
2021-05-03 04:15:00,68.9673,6.8554616,10.566503
2021-05-03 04:30:00,69.7258,6.044953,10.291349
2021-05-03 04:45:00,70.132,5.328423,9.758433
2021-05-03 05:00:00,70.1574,4.8477116,8.956546
2021-05-03 05:15:00,69.7511,4.338257,7.909772
2021-05-03 05:30:00,69.0429,4.2882257,7.5382752
2021-05-03 05:45:00,67.9877,4.209118,7.4158607
2021-05-03 06:00:00,66.594,4.6250777,7.9534454
2021-05-03 06:15:00,64.898,5.0069084,8.346737
2021-05-03 06:30:00,63.1299,5.0515556,8.668142
2021-05-03 06:45:00,61.342,4.8442507,8.507819
2021-05-03 07:00:00,59.5373,4.420819,7.6510596
