datetime,actual_power,predicted_power,wind,wind_2,wind_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,fused_corrected_wind_speed,corrected_wind_gfs_70m,original_gfs_wind_speed_70m,corrected_wind_ec_70m,original_ec_wind_speed_70m,error,abs_error
2022-08-31 21:00:00,19.98,30.29070063219152,5.800670751079162,33.64778116242529,195.17970002759276,21,8,0,5.879062948192009,5.573790362776974,5.800670751079162,5.574203226439219,7.8197045,6.027138275719103,8.776497,10.31070063219152,10.31070063219152
2022-08-31 21:15:00,15.3439,30.75835840710204,5.832983579851831,34.02369744282108,198.4596685098221,21,8,0,5.800670751079162,5.542042610502834,5.832983579851831,5.6388288839845595,7.8136187,6.027138275719103,8.835325,15.41445840710204,15.41445840710204
2022-08-31 21:30:00,15.3581,30.75835840710204,5.956239681493286,35.47679114339524,211.30827118034028,21,8,0,5.832983579851831,5.5774184387873955,5.956239681493286,5.854067737332834,7.7865314,6.058411625653738,8.421136,15.40025840710204,15.40025840710204
2022-08-31 21:45:00,15.9947,30.75835840710204,5.949862681194224,35.40086592506772,210.63029104952068,21,8,0,5.956239681493286,5.581909101028478,5.949862681194224,5.7525655690080235,7.8280373,6.147159793380424,8.936652,14.76365840710204,14.76365840710204
2022-08-31 22:00:00,15.9947,30.75835840710204,5.933983828963674,35.21216408240239,208.94841224779128,22,8,0,5.949862681194224,5.571366981194049,5.933983828963674,5.7525655690080235,7.7469335,6.115402088919324,9.610272,14.76365840710204,14.76365840710204
2022-08-31 22:15:00,15.4832,30.75835840710204,5.933983828963674,35.21216408240239,208.94841224779128,22,8,0,5.933983828963674,5.571366981194049,5.933983828963674,5.7525655690080235,7.531909,6.115402088919324,8.85687,15.27515840710204,15.27515840710204
2022-08-31 22:30:00,13.1346,30.75835840710204,5.949620503930991,35.397984140796055,210.60457224190424,22,8,0,5.933983828963674,5.550483982986219,5.949620503930991,5.7525655690080235,7.2584248,6.146675438853959,8.372941,17.623758407102038,17.623758407102038
2022-08-31 22:45:00,9.8035,32.86989415238412,6.01884611106931,36.226508508734156,218.04177985541386,22,8,0,5.949620503930991,5.550483982986219,6.01884611106931,5.946253586807793,6.765667,6.091438635330827,8.585935,23.06639415238412,23.06639415238412
2022-08-31 23:00:00,9.8035,32.86989415238412,6.076255962382094,36.920886520383945,224.34075685591563,23,8,0,6.01884611106931,5.550483982986219,6.076255962382094,6.005352131383765,5.887726,6.147159793380424,8.747338,23.06639415238412,23.06639415238412
2022-08-31 23:15:00,6.8561,36.392425661756974,6.203668480336095,38.48550261391555,238.75129951584032,23,8,0,6.076255962382094,5.708140244336791,6.203668480336095,6.244355215158509,5.192862,6.162981745513681,8.832915,29.536325661756976,29.536325661756976
