datetime,actual_power,predicted_power,wind,wind_2,wind_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,original_forecast_wind,observed_wind,corrected_wind_speed,error,abs_error
2022-10-14 15:45:00,86.49,82.04881369140585,8.13004803360618,66.09768102874371,537.3773216736663,15,10,1,8.13004803360618,5.200141175405368,8.831465,8.24,8.13004803360618,-4.4411863085941405,4.4411863085941405
2022-10-14 16:00:00,85.36,90.17231729281265,8.391549885264793,70.41810947688755,590.9170785013393,16,10,1,8.13004803360618,5.498536582917234,8.789172,8.3,8.391549885264793,4.812317292812651,4.812317292812651
2022-10-14 16:15:00,99.98,90.17231729281265,8.378646010142509,70.20170896327699,588.1952687103463,16,10,1,8.391549885264793,5.9278508094594375,8.715581,8.4,8.378646010142509,-9.807682707187354,9.807682707187354
2022-10-14 16:30:00,122.33,90.17231729281265,8.378646010142509,70.20170896327699,588.1952687103463,16,10,1,8.378646010142509,5.9278508094594375,8.642667,8.62,8.378646010142509,-32.15768270718735,32.15768270718735
2022-10-14 16:45:00,122.33,90.17231729281265,8.264694525933097,68.3051756069885,564.5214109319767,16,10,1,8.378646010142509,5.9278508094594375,8.570652,8.5,8.264694525933097,-32.15768270718735,32.15768270718735
2022-10-14 17:00:00,119.65,83.26571589104238,7.993033363867424,63.88858235589778,510.6635703408826,17,10,1,8.264694525933097,6.222944873511582,8.492897,8.32,7.993033363867424,-36.38428410895763,36.38428410895763
2022-10-14 17:15:00,115.39,80.30043783513126,7.8806299844577605,62.104328951934725,489.42123690324496,17,10,1,7.993033363867424,6.222944873511582,8.415837,7.89,7.8806299844577605,-35.08956216486874,35.08956216486874
2022-10-14 17:30:00,108.6,80.30043783513126,7.860247151405533,61.78348528117879,485.63346418529125,17,10,1,7.8806299844577605,6.200642738302675,8.3053,7.67,7.860247151405533,-28.299562164868732,28.299562164868732
2022-10-14 17:45:00,118.37,80.30043783513126,7.860247151405533,61.78348528117879,485.63346418529125,17,10,1,7.860247151405533,6.30148966251011,8.121958,7.56,7.860247151405533,-38.06956216486874,38.06956216486874
2022-10-14 18:00:00,119.68,85.01964460277183,7.620864659547794,58.077578159144515,442.6013629051493,18,10,0,7.860247151405533,6.684621152630114,7.8022647,8.31,7.620864659547794,-34.66035539722817,34.66035539722817
2022-10-14 18:15:00,119.11,72.39318819582266,7.220931845043662,52.141856710765666,376.5127935824714,18,10,0,7.620864659547794,6.967283443894734,6.797229,7.26,7.220931845043662,-46.71681180417734,46.71681180417734
2022-10-14 18:30:00,111.2,63.36262765863621,6.616014363795139,43.77164606194359,289.5938390727757,18,10,0,7.220931845043662,7.049366525758313,5.7874365,7.65,6.616014363795139,-47.837372341363796,47.837372341363796
2022-10-14 18:45:00,112.45,53.099540770685074,6.133537659930514,37.62028422578589,230.7454300761476,18,10,0,6.616014363795139,7.063524185187707,4.974256,8.12,6.133537659930514,-59.35045922931493,59.35045922931493
2022-10-14 19:00:00,114.18,49.76652419436956,6.007692312069795,36.09236691650252,216.83183524867442,19,10,0,6.133537659930514,7.556522677596165,4.5571856,8.12,6.007692312069795,-64.41347580563044,64.41347580563044
2022-10-14 19:15:00,116.41,55.719373167156085,5.987409223934255,35.849069214852996,214.64304768646835,19,10,0,6.007692312069795,7.931323022953223,4.332194,7.13,5.987409223934255,-60.69062683284391,60.69062683284391
2022-10-14 19:30:00,83.04,55.719373167156085,5.987409223934255,35.849069214852996,214.64304768646835,19,10,0,5.987409223934255,7.931323022953223,4.168133,6.61,5.987409223934255,-27.32062683284392,27.32062683284392
2022-10-14 19:45:00,64.01,55.719373167156085,5.987409223934255,35.849069214852996,214.64304768646835,19,10,0,5.987409223934255,7.979091928301908,4.038328,5.97,5.987409223934255,-8.29062683284392,8.29062683284392
2022-10-14 20:00:00,47.84,57.20864265775498,5.863649626011793,34.382386936628244,201.60627030235295,20,10,0,5.987409223934255,8.49425891947439,3.8609211,5.85,5.863649626011793,9.368642657754975,9.368642657754975
2022-10-14 20:15:00,37.41,55.332677645227115,5.699210083063368,32.48099557089116,185.11601746555948,20,10,0,5.863649626011793,8.228469263062113,3.4939222,5.95,5.699210083063368,17.922677645227118,17.922677645227118
2022-10-14 20:30:00,52.73,51.51501812836998,5.577277220474596,31.10602119402484,173.48690342503474,20,10,0,5.699210083063368,8.228469263062113,4.326785,5.87,5.577277220474596,-1.214981871630016,1.214981871630016
2022-10-14 20:45:00,68.95,49.68834234659141,5.571485728184952,31.04145321936861,172.94701359383305,20,10,0,5.577277220474596,8.228469263062113,5.1173825,7.14,5.571485728184952,-19.26165765340859,19.26165765340859
2022-10-14 21:00:00,87.53,53.506001863448546,5.694530045327208,32.4276724371343,184.6603549932902,21,10,0,5.571485728184952,8.12807700349199,4.912305,7.05,5.694530045327208,-34.023998136551455,34.023998136551455
2022-10-14 21:15:00,96.67,51.51501812836998,5.636932678560751,31.775010022626088,179.1135923581364,21,10,0,5.694530045327208,8.183673959146876,4.9753566,7.79,5.636932678560751,-45.15498187163002,45.15498187163002
2022-10-14 21:30:00,108.51,50.97139741336454,5.668312648307457,32.129768278962295,182.12157192282967,21,10,0,5.636932678560751,8.13004803360618,5.1224585,8.32,5.668312648307457,-57.53860258663546,57.53860258663546
2022-10-14 21:45:00,112.99,54.789056930221676,5.70458254419354,32.54226200351764,185.64001977383947,21,10,0,5.668312648307457,8.13004803360618,5.2359996,8.39,5.70458254419354,-58.20094306977832,58.20094306977832
2022-10-14 22:00:00,99.35,54.47656031294845,5.464227373208186,29.857780786117637,163.14970307475343,22,10,0,5.70458254419354,8.391549885264793,5.345289,8.72,5.464227373208186,-44.873439687051544,44.873439687051544
2022-10-14 22:15:00,86.79,52.64988453116988,5.477271790045995,30.000506262033657,164.32092663613517,22,10,0,5.464227373208186,8.378646010142509,5.4476476,8.75,5.477271790045995,-34.140115468830125,34.140115468830125
2022-10-14 22:30:00,98.85,52.64988453116988,5.477271790045995,30.000506262033657,164.32092663613517,22,10,0,5.477271790045995,8.378646010142509,5.528675,8.68,5.477271790045995,-46.20011546883011,46.20011546883011
2022-10-14 22:45:00,115.1,52.64988453116988,5.477271790045995,30.000506262033657,164.32092663613517,22,10,0,5.477271790045995,8.264694525933097,5.5704007,7.89,5.477271790045995,-62.45011546883011,62.45011546883011
2022-10-14 23:00:00,118.67,47.96040868081175,5.114340009414054,26.156473731893346,133.77310011220987,23,10,0,5.477271790045995,7.993033363867424,5.655517,8.98,5.114340009414054,-70.70959131918825,70.70959131918825
2022-10-14 23:15:00,123.74,45.06893313351922,5.132976379804819,26.347446515634186,135.24082063292104,23,10,0,5.114340009414054,7.8806299844577605,5.7245836,8.53,5.132976379804819,-78.67106686648077,78.67106686648077
2022-10-14 23:30:00,126.65,49.758408983877345,5.524548752611478,30.52063891998104,168.6127576742866,23,10,0,5.132976379804819,7.860247151405533,5.748487,8.34,5.524548752611478,-76.89159101612266,76.89159101612266
2022-10-14 23:45:00,127.46,47.96040868081175,5.132976379804819,26.347446515634186,135.24082063292104,23,10,0,5.524548752611478,7.860247151405533,5.721854,8.12,5.132976379804819,-79.49959131918824,79.49959131918824
