datetime,actual_power,predicted_power,error,abs_error,relative_error,feature_wind_speed,feature_wind_speed_2,feature_wind_speed_3,feature_hour,feature_month,feature_is_daytime,feature_wind_lag_1h,feature_wind_lag_24h,original_gfs_wind_speed_10m,original_gfs_wind_speed_70m,fused_wind
2022-09-05 11:45:00,0.0,19.637958812174983,19.637958812174983,19.637958812174983,196379588121.74982,1.959378035,3.8391622840404613,7.522370252149312,11,9,1,1.78343797,5.39439403,1.964354,1.9532963,1.959378035
2022-09-05 12:00:00,0.0,19.637958812174983,19.637958812174983,19.637958812174983,196379588121.74982,2.1526662500000002,4.633971983889063,9.975395093163531,12,9,1,1.959378035,5.03220114,2.1482666,2.1580436,2.1526662500000002
2022-09-05 12:15:00,0.0,19.637958812174983,19.637958812174983,19.637958812174983,196379588121.74982,2.34564736,5.50206153747497,12.905896119935704,12,9,1,2.1526662500000002,4.66606148,2.3248057,2.3711205,2.34564736
2022-09-05 12:30:00,0.0,19.637958812174983,19.637958812174983,19.637958812174983,196379588121.74982,2.5045606850000004,6.272824224847671,15.71066893746908,12,9,1,2.34564736,4.699852795,2.464277,2.5537963,2.5045606850000004
2022-09-05 12:45:00,0.0,19.637958812174983,19.637958812174983,19.637958812174983,196379588121.74982,2.567116115,6.590085147892694,16.917513782377494,12,9,1,2.5045606850000004,4.813406610000001,2.5118513,2.634662,2.567116115
2022-09-05 13:00:00,0.0,20.08950238240525,20.08950238240525,20.08950238240525,200895023824.0525,2.544291135,6.473417379639588,16.470258452171933,13,9,1,2.567116115,5.0302606999999995,2.4798195,2.6230898,2.544291135
2022-09-05 13:15:00,0.0,20.08950238240525,20.08950238240525,20.08950238240525,200895023824.0525,2.479717635,6.148999549329994,15.247782620080638,13,9,1,2.544291135,5.138711375,2.410674,2.5641043,2.479717635
2022-09-05 13:30:00,0.0,20.08950238240525,20.08950238240525,20.08950238240525,200895023824.0525,2.4277541200000003,5.8939900671769765,14.309158668827983,13,9,1,2.479717635,5.308183230000001,2.3589826,2.5118082,2.4277541200000003
2022-09-05 13:45:00,0.0,20.08950238240525,20.08950238240525,20.08950238240525,200895023824.0525,2.4221678950000003,5.866897311568732,14.210610311343597,13,9,1,2.4277541200000003,5.65562939,2.3531833,2.5064824,2.4221678950000003
2022-09-05 14:00:00,0.0,20.08950238240525,20.08950238240525,20.08950238240525,200895023824.0525,2.4800977100000003,6.150884651147246,15.254794937784435,14,9,1,2.4221678950000003,5.83065383,2.408897,2.5671208,2.4800977100000003
2022-09-05 14:15:00,0.0,20.08950238240525,20.08950238240525,20.08950238240525,200895023824.0525,2.6044052200000003,6.78292654996325,17.66548931360088,14,9,1,2.4800977100000003,5.812552125,2.5360963,2.6878939,2.6044052200000003
2022-09-05 14:30:00,0.0,20.08950238240525,20.08950238240525,20.08950238240525,200895023824.0525,2.7317874150000003,7.462662480752384,20.386407447312045,14,9,1,2.6044052200000003,5.639727925000001,2.6577315,2.8223002,2.7317874150000003
2022-09-05 14:45:00,0.0,20.08950238240525,20.08950238240525,20.08950238240525,200895023824.0525,2.8743242600000003,8.261739951624548,23.74691957276567,14,9,1,2.7317874150000003,5.08334955,2.793143,2.9735458,2.8743242600000003
2022-09-05 15:00:00,0.0,22.0183110162421,22.0183110162421,22.0183110162421,220183110162.421,3.0207509900000002,9.124936543585981,27.564161097724533,15,9,1,2.8743242600000003,4.842168000000001,2.9313314,3.1300416,3.0207509900000002
2022-09-05 15:15:00,0.0,22.0183110162421,22.0183110162421,22.0183110162421,220183110162.421,3.154908245,9.95344603436898,31.402208959993253,15,9,1,3.0207509900000002,4.650810760000001,3.0558164,3.2760205,3.154908245
2022-09-05 15:30:00,0.0,22.0183110162421,22.0183110162421,22.0183110162421,220183110162.421,3.27486155,10.724718171668401,35.12196717498314,15,9,1,3.154908245,4.244990985,3.168122,3.405321,3.27486155
2022-09-05 15:45:00,0.0,21.453407928452666,21.453407928452666,21.453407928452666,214534079284.52667,3.308334265,10.94507560897309,36.20996867018142,15,9,1,3.27486155,3.7543188100000005,3.1994605,3.4414022,3.308334265
2022-09-05 16:00:00,0.0,21.140823633208868,21.140823633208868,21.140823633208868,211408236332.08865,3.2867071250000004,10.802443725525768,35.50446876009709,16,9,1,3.308334265,3.22484254,3.1771805,3.420573,3.2867071250000004
2022-09-05 16:15:00,1.0073,20.632270067490882,19.62497006749088,19.62497006749088,1948.2745828118161,3.2749425550000004,10.725248738549931,35.124573506837244,16,9,1,3.2867071250000004,2.6522791000000003,3.1632931,3.411403,3.2749425550000004
2022-09-05 16:30:00,1.3817,20.17205411741437,18.79035411741437,18.79035411741437,1359.9445597032582,3.2787256100000004,10.750041625669875,35.24643678664986,16,9,1,3.2749425550000004,2.111998705,3.1653905,3.4172463,3.2787256100000004
2022-09-05 16:45:00,1.6091,20.17205411741437,18.562954117414368,18.562954117414368,1153.623392085764,3.26513191,10.661086389700248,34.809853366276975,16,9,1,3.2787256100000004,1.760847295,3.1510966,3.4045084,3.26513191
2022-09-05 17:00:00,1.6091,20.17205411741437,18.562954117414368,18.562954117414368,1153.623392085764,3.2159686900000004,10.34245461506032,33.26101021977999,17,9,1,3.26513191,1.64111822,3.103591,3.3533192,3.2159686900000004
2022-09-05 17:15:00,3.0703,20.17205411741437,17.10175411741437,17.10175411741437,557.0059623396337,3.1266697050000003,9.77606344416479,30.566521405028006,17,9,1,3.2159686900000004,1.66311176,3.0178854,3.2596283,3.1266697050000003
2022-09-05 17:30:00,2.4331,20.17205411741437,17.73895411741437,17.73895411741437,729.0680220503706,3.0047686600000003,9.028634700118198,27.12895858950366,17,9,1,3.1266697050000003,1.78343797,2.9000344,3.1327772,3.0047686600000003
2022-09-05 17:45:00,0.0959,18.46321622210499,18.36731622210499,18.36731622210499,19152.56966303235,2.8736312500000003,8.257756560976564,23.72974730851479,17,9,1,3.0047686600000003,1.959378035,2.7718318,2.9980528,2.8736312500000003
2022-09-05 18:00:00,0.0,19.58772607968467,19.58772607968467,19.58772607968467,195877260796.8467,2.695958009,7.268189586291244,19.594733926092275,18,9,0,2.8736312500000003,2.1526662500000002,2.6100554,2.8303185,2.695958009
2022-09-05 18:15:00,0.0,20.047942029761185,20.047942029761185,20.047942029761185,200479420297.61185,2.534081305,6.421568060350503,16.27277557051932,18,9,0,2.695958009,2.34564736,2.4494047,2.6665242,2.534081305
2022-09-05 18:30:00,0.0,20.047942029761185,20.047942029761185,20.047942029761185,200479420297.61185,2.368376972,5.609209481499889,13.284722567108398,18,9,0,2.534081305,2.5045606850000004,2.2854338,2.4981086,2.368376972
2022-09-05 18:45:00,0.0,20.047942029761185,20.047942029761185,20.047942029761185,200479420297.61185,2.185609415,4.776888514936642,10.440412512650894,18,9,0,2.368376972,2.567116115,2.1036944,2.3137329,2.185609415
2022-09-05 19:00:00,0.0,20.047942029761185,20.047942029761185,20.047942029761185,200479420297.61185,1.9971688330000004,3.9886833475065835,7.966074066346258,19,9,0,2.185609415,2.544291135,1.9134613,2.128096,1.9971688330000004
2022-09-05 19:15:00,0.4689,20.047942029761185,19.579042029761183,19.579042029761183,4175.526042270971,1.837156731,3.3751448542586067,6.200670087101214,19,9,0,1.9971688330000004,2.479717635,1.7446047,1.9819176,1.837156731
