datetime,actual_power,predicted_power,wind,wind_2,wind_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,corrected_average_wind_speed,original_average_wind_speed,original_gfs_wind_speed_70m,original_ec_wind_speed_70m,error,abs_error
2022-08-15 19:30:00,7.0621,26.9332846028447,5.489010030127664,30.129231110842102,165.37965176744677,19,8,0,5.489010030127664,5.735065637752256,5.489010030127664,5.5313765,5.900533,5.16222,19.8711846028447,19.8711846028447
2022-08-15 19:45:00,4.1239,25.89711812944633,5.42002885085549,29.376712744105888,159.22263061634808,19,8,0,5.489010030127664,5.735065637752256,5.42002885085549,5.70432495,6.1716332,5.2370167,21.77321812944633,21.77321812944633
2022-08-15 20:00:00,0.8731,25.89711812944633,5.42002885085549,29.376712744105888,159.22263061634808,20,8,0,5.42002885085549,5.845078854669523,5.42002885085549,5.7900677,6.2961884,5.283947,25.02401812944633,25.02401812944633
2022-08-15 20:15:00,0.0,27.423135596649985,5.572051472444261,31.047757611568255,172.99970351563138,20,8,0,5.42002885085549,5.845078854669523,5.572051472444261,5.8914621,6.4473915,5.3355327,27.423135596649985,27.423135596649985
2022-08-15 20:30:00,0.0,27.423135596649985,5.572051472444261,31.047757611568255,172.99970351563138,20,8,0,5.572051472444261,5.624465515680115,5.572051472444261,6.1281829000000005,6.7439995,5.5123663,27.423135596649985,27.423135596649985
2022-08-15 20:45:00,0.0,26.9332846028447,5.536907986838609,30.65735005471718,169.74692637327064,20,8,0,5.572051472444261,5.502960920888978,5.536907986838609,6.44601935,7.063126,5.8289127,26.9332846028447,26.9332846028447
2022-08-15 21:00:00,0.0,27.60463074090379,5.687373682374677,32.34621940296809,183.96503695675784,21,8,0,5.536907986838609,5.313949221810523,5.687373682374677,6.81444185,7.396294,6.2325897,27.60463074090379,27.60463074090379
2022-08-15 21:15:00,0.0,37.48014428125524,6.388556403241788,40.81365291740165,260.7403236851542,21,8,0,5.687373682374677,5.0922773787860365,6.388556403241788,7.064140050000001,7.6270394,6.5012407,37.48014428125524,37.48014428125524
2022-08-15 21:30:00,0.0,38.89035900234697,6.388556403241788,40.81365291740165,260.7403236851542,21,8,0,6.388556403241788,5.0922773787860365,6.388556403241788,7.08698835,7.5306277,6.643349,38.89035900234697,38.89035900234697
2022-08-15 21:45:00,0.0,38.89035900234697,6.388556403241788,40.81365291740165,260.7403236851542,21,8,0,6.388556403241788,5.0922773787860365,6.388556403241788,7.169878199999999,7.203359,7.1363974,38.89035900234697,38.89035900234697
2022-08-15 22:00:00,0.0,38.89035900234697,6.518664392234463,42.4929854585855,276.9975112286181,22,8,0,6.388556403241788,5.0922773787860365,6.518664392234463,7.3081069,7.109055,7.5071588,38.89035900234697,38.89035900234697
2022-08-15 22:15:00,0.0,38.89035900234697,6.503481875769963,42.2952765084684,275.06656420350333,22,8,0,6.518664392234463,5.0922773787860365,6.503481875769963,7.293429,7.07718,7.509678,38.89035900234697,38.89035900234697
2022-08-15 22:30:00,0.0,44.29049948292791,6.739086770518511,45.41529050057761,306.05758339169756,22,8,0,6.503481875769963,5.0922773787860365,6.739086770518511,7.259873600000001,6.7555065,7.7642407,44.29049948292791,44.29049948292791
2022-08-15 22:45:00,0.0,45.91166675882995,6.608978781525836,43.67860053465872,288.6709441403025,22,8,0,6.739086770518511,5.0922773787860365,6.608978781525836,7.01797885,6.095589,7.9403687,45.91166675882995,45.91166675882995
2022-08-15 23:00:00,0.0,42.211587027618066,6.533255495712128,42.68342737225272,278.86173645559956,23,8,0,6.608978781525836,5.37073110811287,6.533255495712128,6.5778909,5.2926345,7.8631473,42.211587027618066,42.211587027618066
2022-08-15 23:15:00,0.0,40.099319207425296,6.439255996232841,41.4640177850206,266.9974251500991,23,8,0,6.533255495712128,5.7307195941322,6.439255996232841,6.523714999999999,5.035255,8.012175,40.099319207425296,40.099319207425296
2022-08-15 23:30:00,0.0,36.58720104961914,6.3107762615832765,39.825897023763,251.33232553382356,23,8,0,6.439255996232841,5.786700851686652,6.3107762615832765,6.44802035,4.9025497,7.993491,36.58720104961914,36.58720104961914
2022-08-15 23:45:00,1.4954,36.58720104961914,6.172185503087627,38.09587388452507,235.13480051752015,23,8,0,6.3107762615832765,5.590304300157702,6.172185503087627,6.12969085,4.693869,7.5655127,35.091801049619136,35.091801049619136
2022-08-16 00:00:00,2.8913,32.40825102565321,6.077313084762281,36.93373433022283,224.45786691419707,0,8,0,6.172185503087627,5.489010030127664,6.077313084762281,5.54387775,3.743018,7.3447375,29.516951025653206,29.516951025653206
2022-08-16 00:15:00,4.337,32.40825102565321,6.077313084762281,36.93373433022283,224.45786691419707,0,8,0,6.077313084762281,5.489010030127664,6.077313084762281,5.26659205,3.6726494,6.8605347,28.071251025653208,28.071251025653208
2022-08-16 00:30:00,6.6827,32.40825102565321,6.077313084762281,36.93373433022283,224.45786691419707,0,8,0,6.077313084762281,5.489010030127664,6.077313084762281,5.094531,3.873424,6.315638,25.725551025653207,25.725551025653207
2022-08-16 00:45:00,10.0323,32.40825102565321,6.077313084762281,36.93373433022283,224.45786691419707,0,8,0,6.077313084762281,5.489010030127664,6.077313084762281,4.8507002,4.151457,5.5499434,22.375951025653208,22.375951025653208
2022-08-16 01:00:00,13.4479,26.81503612662497,5.53935288139458,30.68443034461443,169.97188764339123,1,8,0,6.077313084762281,5.489010030127664,5.53935288139458,4.49425365,4.196652,4.7918553,13.36713612662497,13.36713612662497
2022-08-16 01:15:00,13.4479,23.68632417464707,5.2293748380743015,27.346361197084626,143.0043731569258,1,8,0,5.53935288139458,5.489010030127664,5.2293748380743015,4.016237,3.9826126,4.0498614,10.238424174647069,10.238424174647069
2022-08-16 01:30:00,16.8784,23.68632417464707,5.213448181796821,27.18004194428058,141.7017402555709,1,8,0,5.2293748380743015,5.489010030127664,5.213448181796821,3.5681211,3.7926867,3.3435555,6.80792417464707,6.80792417464707
2022-08-16 01:45:00,16.1367,23.68632417464707,5.2095341982974395,27.139246563230547,141.38283308717578,1,8,0,5.213448181796821,5.42002885085549,5.2095341982974395,3.1771657500000003,3.4613168,2.8930147,7.549624174647068,7.549624174647068
2022-08-16 02:00:00,12.1585,23.68632417464707,5.2027706246101495,27.068822172306284,140.83287284087103,2,8,0,5.2095341982974395,5.42002885085549,5.2027706246101495,2.79354095,2.980792,2.6062899,11.527824174647069,11.527824174647069
2022-08-16 02:15:00,11.2932,21.740054242421543,5.051764066388266,25.52032018245171,128.92263646043278,2,8,0,5.2027706246101495,5.572051472444261,5.051764066388266,2.51278995,2.7136292,2.3119507,10.446854242421542,10.446854242421542
2022-08-16 02:30:00,7.2035,21.740054242421543,5.051764066388266,25.52032018245171,128.92263646043278,2,8,0,5.051764066388266,5.572051472444261,5.051764066388266,2.2215825000000002,2.4303653,2.0127997,14.536554242421543,14.536554242421543
2022-08-16 02:45:00,4.8741,23.68632417464707,5.113667419447677,26.149594476720665,133.72032930737538,2,8,0,5.051764066388266,5.536907986838609,5.113667419447677,1.8320047,1.978821,1.6851884,18.81222417464707,18.81222417464707
2022-08-16 03:00:00,6.2977,19.044678252715038,4.816031829000698,23.194162577947807,111.70382522241353,3,8,0,5.113667419447677,5.687373682374677,4.816031829000698,1.740459,1.9467413,1.5341767,12.746978252715039,12.746978252715039
