datetime,power,ec_wind_speed_10m,ec_wind_speed_70m
2021-05-02 23:30:00,59.8398,4.7997594,9.487234
2021-05-02 23:45:00,61.4129,4.4260254,8.904917
2021-05-03 00:00:00,44.7324,2.6011589,4.6480365
2021-05-03 00:15:00,44.4636,2.0744102,3.5074923
2021-05-03 00:30:00,44.5403,2.276881,2.595715
2021-05-03 00:45:00,44.9445,2.948258,2.5183504
2021-05-03 01:00:00,45.6435,3.0087311,2.924246
2021-05-03 01:15:00,46.6073,2.5992362,3.6995933
2021-05-03 01:30:00,47.8069,2.4196684,4.73766
2021-05-03 01:45:00,49.2949,2.6140997,5.399844
2021-05-03 02:00:00,51.0667,3.113536,5.6990247
2021-05-03 02:15:00,53.118,3.512704,5.6899815
2021-05-03 02:30:00,55.3107,3.4016557,5.4132514
2021-05-03 02:45:00,57.6278,3.2778056,5.172414
2021-05-03 03:00:00,60.003,3.419358,4.8891907
2021-05-03 03:15:00,62.268,3.6613038,4.7901382
2021-05-03 03:30:00,64.4595,4.131099,5.491114
2021-05-03 03:45:00,66.3714,4.53565,6.2784133
2021-05-03 04:00:00,67.8876,4.335632,6.4979043
2021-05-03 04:15:00,68.9673,3.5925415,5.6377892
2021-05-03 04:30:00,69.7258,3.1755474,4.9061522
2021-05-03 04:45:00,70.132,3.7166247,6.1114974
2021-05-03 05:00:00,70.1574,3.4755175,6.2551756
2021-05-03 05:15:00,69.7511,3.1598449,5.535805
2021-05-03 05:30:00,69.0429,3.1716135,4.7734904
2021-05-03 05:45:00,67.9877,3.11276,3.8379128
2021-05-03 06:00:00,66.594,3.1567647,3.0350127
2021-05-03 06:15:00,64.898,3.3531945,2.99889
2021-05-03 06:30:00,63.1299,3.575698,3.3753202
2021-05-03 06:45:00,61.342,3.5436034,3.658223
2021-05-03 07:00:00,59.5373,2.9365668,3.084425
2021-05-03 07:15:00,57.7645,2.0522244,2.3566775
2021-05-03 07:30:00,55.9571,1.6260747,1.7024089
2021-05-03 07:45:00,54.1416,1.5520065,2.0439305
2021-05-03 08:00:00,52.3426,1.9741226,2.6808152
2021-05-03 08:15:00,50.667,4.1542325,5.577919
2021-05-03 08:30:00,48.9866,6.132512,7.3939295
2021-05-03 08:45:00,47.3445,6.3809934,7.4000945
2021-05-03 09:00:00,45.7803,6.1717415,7.1743274
2021-05-03 09:15:00,44.3487,6.1774263,7.162336
2021-05-03 09:30:00,43.1931,6.085442,7.0218697
2021-05-03 09:45:00,42.281,5.7663555,6.6371856
2021-05-03 10:00:00,41.62,5.4747972,6.259147
2021-05-03 10:15:00,41.1655,5.122572,5.8391905
2021-05-03 10:30:00,40.8947,4.857155,5.563523
2021-05-03 10:45:00,40.7867,4.7504206,5.4771314
2021-05-03 11:00:00,40.8766,4.8533907,5.622339
2021-05-03 11:15:00,41.1837,5.2908273,6.1059885
2021-05-03 11:30:00,41.7113,5.818568,6.675073
2021-05-03 11:45:00,42.4475,6.1793885,7.0641365
2021-05-03 12:00:00,43.3811,6.3596025,7.2527122
2021-05-03 12:15:00,44.5211,6.5219083,7.452137
2021-05-03 12:30:00,45.8978,6.8531947,7.852328
2021-05-03 12:45:00,47.5251,7.1364045,8.167389
2021-05-03 13:00:00,49.4186,7.152998,8.154863
2021-05-03 13:15:00,51.5746,7.0311933,7.9909124
2021-05-03 13:30:00,53.6609,6.785327,7.673489
2021-05-03 13:45:00,55.6445,6.5602584,7.396699
2021-05-03 14:00:00,57.5139,6.6445975,7.5208697
2021-05-03 14:15:00,59.3053,7.188859,8.210448
2021-05-03 14:30:00,60.9408,7.685661,8.826434
2021-05-03 14:45:00,62.4351,7.6555166,8.766345
2021-05-03 15:00:00,63.7565,7.19898,8.237783
2021-05-03 15:15:00,64.898,6.832795,7.8352656
2021-05-03 15:30:00,65.9767,6.7298026,7.7387037
2021-05-03 15:45:00,67.0154,6.915475,7.958141
2021-05-03 16:00:00,68.0127,7.126486,8.18538
2021-05-03 16:15:00,68.9673,7.0204263,8.057908
2021-05-03 16:30:00,69.599,6.706976,7.7579174
2021-05-03 16:45:00,69.8779,6.7524323,7.812367
2021-05-03 17:00:00,69.8018,6.592058,7.611833
2021-05-03 17:15:00,69.2702,6.278185,7.2571087
2021-05-03 17:30:00,68.3887,6.077915,7.002831
2021-05-03 17:45:00,67.0651,5.761184,6.569421
2021-05-03 18:00:00,65.3136,5.6632433,6.411464
2021-05-03 18:15:00,63.1058,5.409824,6.1613054
2021-05-03 18:30:00,60.9173,5.186935,5.944769
2021-05-03 18:45:00,58.7736,4.7765408,5.4964614
2021-05-03 19:00:00,56.6984,4.3909206,5.085008
2021-05-03 19:15:00,54.7352,3.9862516,4.6449285
2021-05-03 19:30:00,52.8156,3.3714812,4.200582
2021-05-03 19:45:00,50.9824,3.6612432,5.9172053
2021-05-03 20:00:00,49.3155,3.9306905,6.809463
2021-05-03 20:15:00,47.9482,4.088239,7.073959
2021-05-03 20:30:00,47.1445,4.066311,6.8274517
2021-05-03 20:45:00,47.0248,3.805495,6.348987
2021-05-03 21:00:00,47.686,3.4639733,5.7753263
2021-05-03 21:15:00,49.192,3.106765,5.314925
2021-05-03 21:30:00,51.1511,3.8867455,7.0541377
2021-05-03 21:45:00,53.7045,4.620231,8.734014
2021-05-03 22:00:00,56.9016,4.5116224,8.052517
2021-05-03 22:15:00,60.8467,4.611791,7.2511644
2021-05-03 22:30:00,65.0445,4.588464,7.494273
2021-05-03 22:45:00,69.5484,4.7836185,7.867096
2021-05-03 23:00:00,74.259,5.1478844,8.54586
2021-05-03 23:15:00,79.1419,5.3682437,9.032612
2021-05-03 23:30:00,84.268,5.408766,9.615843
2021-05-03 23:45:00,89.4879,5.3466787,9.527605
2021-05-04 00:00:00,108.9771,6.8649406,11.136794
2021-05-04 00:15:00,111.1962,6.9641557,11.351066
2021-05-04 00:30:00,112.7568,6.890767,11.347349
2021-05-04 00:45:00,113.7119,6.804601,11.334501
2021-05-04 01:00:00,114.1173,6.996733,11.633512
2021-05-04 01:15:00,114.0304,7.1732125,11.843386
2021-05-04 01:30:00,113.7987,7.387791,12.123021
2021-05-04 01:45:00,113.4223,7.688748,12.549902
2021-05-04 02:00:00,112.9304,7.967797,13.048125
2021-05-04 02:15:00,112.323,7.620201,12.546083
2021-05-04 02:30:00,111.4561,7.516852,12.794808
2021-05-04 02:45:00,110.4172,7.912785,13.126445
2021-05-04 03:00:00,109.1497,7.962721,13.181713
2021-05-04 03:15:00,107.7128,7.651942,12.832249
2021-05-04 03:30:00,106.223,7.366412,12.534354
2021-05-04 03:45:00,104.6812,7.3306766,12.513563
2021-05-04 04:00:00,103.0887,7.2988944,12.492375
2021-05-04 04:15:00,101.475,7.203077,12.407608
2021-05-04 04:30:00,99.8694,7.1053553,12.316494
2021-05-04 04:45:00,98.2725,7.0834255,12.32989
2021-05-04 05:00:00,96.6847,7.0516324,12.349147
2021-05-04 05:15:00,95.1342,6.945614,12.360839
